"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"16 MAY2007",4.205,4.257,4.297,4.350,4.460,"_","_",-0.236,0.048,0.881,0.451,4.292,98.360,0.220,0.265,0.263,0.380,5.856,5.459,19.060,"_","_","_",11.862,1.973,18.006,7.347,13.405,5.119,5.445,8.219,5.471,1.760,14856.000,25.190,1.357400,3.068,163.640000,4.276,0.070,5.320,5.500,78.700
"17 MAY2007",4.230,4.285,4.312,4.360,4.250,"_","_",-0.513,"_","_","_","_",98.260,"_",0.260,0.245,0.370,6.157,5.809,19.070,"_","_","_",13.519,3.291,20.958,7.491,13.682,5.629,5.763,8.133,5.138,1.583,14975.000,26.100,1.351600,2.627,163.770000,4.359,0.000,0.000,0.000,78.662
"18 MAY2007","_",4.273,4.317,4.358,4.260,"_",4.526,-0.623,0.050,0.897,0.498,4.304,98.320,0.202,"_",0.267,0.382,6.875,6.517,19.140,"_","_","_",14.400,2.989,21.709,8.759,15.320,6.625,6.753,8.773,5.927,1.009,15093.500,25.460,1.347700,2.331,163.000000,3.868,-0.020,5.280,5.390,78.621
"21 MAY2007",4.231,4.278,4.322,4.367,4.260,"_","_",-0.703,0.047,0.900,0.547,4.329,98.220,0.230,0.269,0.272,0.393,6.733,6.426,19.130,"_","_","_",14.096,2.366,24.134,8.388,15.498,4.948,6.687,8.663,6.769,1.922,15072.500,24.010,1.344400,2.080,163.320000,4.072,-0.060,5.340,5.420,78.591
"22 MAY2007",4.190,4.303,4.324,4.386,4.294,"_","_",-0.729,0.048,0.892,0.529,4.325,98.150,"_",0.310,0.247,0.374,6.875,6.534,19.120,"_","_","_",14.767,2.702,24.298,8.494,16.106,4.498,6.202,8.640,7.152,2.637,15077.500,23.680,1.345400,2.156,163.470000,4.167,-0.110,5.390,5.510,78.581
"23 MAY2007",4.264,4.326,4.361,4.410,4.230,"_",4.560,-0.749,0.049,0.902,0.542,4.364,97.940,0.227,0.266,0.274,0.400,7.854,7.616,19.200,"_","_","_",15.421,3.738,24.626,9.217,17.265,5.148,6.359,8.525,6.697,2.782,15241.000,23.390,1.349000,2.430,163.850000,4.410,-0.100,5.370,5.530,78.579
"24 MAY2007","_",4.337,4.365,4.404,4.250,"_","_",-0.780,0.038,0.921,0.543,4.357,98.010,"_","_",0.243,0.396,7.052,6.704,19.320,"_","_","_",15.728,3.040,22.542,8.077,16.681,3.623,5.539,7.847,5.077,2.735,15110.000,24.030,1.344800,2.111,163.200000,3.995,-0.110,5.280,5.410,78.506
"25 MAY2007",4.236,4.349,4.369,4.412,4.170,"_",4.568,-0.817,0.040,0.904,0.539,4.373,97.850,"_",0.294,0.241,0.388,6.811,6.409,19.330,"_","_","_",15.479,2.747,22.166,8.339,17.315,3.842,5.621,8.378,5.875,1.483,15059.500,23.370,1.344100,2.058,163.500000,4.187,-0.130,5.080,5.290,78.518
"28 MAY2007","_","_","_","_",4.110,"_","_",-0.898,0.035,0.892,0.526,4.397,97.800,"_","_","_","_",7.286,6.914,19.320,"_","_","_",16.560,3.536,23.616,"_","_",4.133,"_","_","_",2.100,15134.000,23.590,1.345300,2.149,163.710000,4.320,0.000,"_","_",78.544
"29 MAY2007",4.272,4.372,4.404,4.428,3.850,"_","_",-0.885,0.043,0.895,0.540,4.389,97.740,0.231,0.268,0.248,0.402,7.804,7.366,17.800,"_","_","_",17.395,4.102,23.711,8.613,17.950,3.678,6.200,8.491,6.491,2.593,15201.500,23.580,1.350900,2.574,164.230000,4.652,-0.090,5.160,5.260,78.609
"30 MAY2007",4.255,4.352,4.388,4.426,3.810,"_",4.569,-0.907,0.040,0.902,0.544,4.390,97.800,0.249,0.285,0.278,0.404,7.446,7.004,17.590,"_","_","_",17.005,3.490,22.261,8.466,17.706,3.604,6.129,9.387,7.341,2.104,15142.500,23.930,1.342000,1.898,163.260000,4.034,-0.120,5.120,5.280,78.530
"31 MAY2007","_",4.427,4.423,4.458,3.804,"_","_",-0.906,0.045,0.913,0.532,4.396,97.640,0.244,"_",0.213,0.382,8.705,8.362,17.470,"_","_","_",18.430,4.182,25.601,9.532,19.496,4.000,6.440,9.343,7.835,3.773,15333.500,24.380,1.345300,2.149,163.560000,4.225,-0.120,5.100,5.300,78.557
"01 JUN2007","_",4.400,4.453,4.469,3.780,"_",4.602,-0.992,0.038,0.896,0.532,4.433,97.390,0.240,"_",0.270,0.391,9.732,9.578,17.500,"_","_","_",18.337,4.438,28.013,10.608,21.085,3.830,7.329,9.668,8.224,4.256,15487.000,23.410,1.343600,2.020,163.810000,4.384,-0.150,5.000,5.130,78.546
"04 JUN2007",4.300,4.449,4.466,4.492,3.772,"_",4.627,-0.943,0.042,0.904,0.563,4.451,97.470,"_",0.290,0.251,0.398,9.132,8.962,17.350,"_","_","_",17.620,3.655,28.073,10.143,20.917,3.079,7.126,9.734,8.405,4.340,15415.000,27.000,1.348200,2.369,164.340000,4.722,-0.110,4.880,5.020,78.562
"05 JUN2007",4.290,4.466,4.487,4.511,3.800,"_",4.637,-1.031,0.040,0.893,0.544,4.476,97.250,0.240,0.310,0.244,0.409,8.565,8.259,17.440,"_","_","_",17.721,2.295,27.383,9.545,20.053,3.500,6.623,9.085,8.112,4.807,15313.500,26.810,1.353200,2.749,164.420000,4.773,-0.100,4.950,5.110,78.591
"06 JUN2007","_",4.442,4.492,4.510,3.884,"_",4.661,-1.126,0.038,0.883,0.568,4.493,97.150,0.230,"_",0.268,0.420,5.939,5.530,18.570,"_","_","_",13.807,-1.782,24.677,7.703,17.177,1.982,4.853,8.044,7.117,4.732,14872.500,35.130,1.351300,2.604,163.670000,4.295,-0.050,4.870,5.090,78.564
"07 JUN2007",4.305,4.479,4.503,4.558,4.270,"_",4.667,-1.213,0.042,0.870,0.583,4.510,96.500,0.230,0.295,0.241,0.392,4.551,4.096,18.320,"_","_","_",11.957,-3.280,23.642,6.347,15.487,1.147,4.570,6.448,5.220,4.804,14655.500,36.940,1.347000,2.278,163.430000,4.142,-0.070,4.760,5.090,78.538
"08 JUN2007","_",4.507,4.564,4.635,4.270,"_",4.772,-1.278,0.042,0.881,0.670,4.587,96.300,0.225,"_",0.253,0.425,5.099,4.736,18.340,"_","_","_",12.540,-1.845,23.284,6.225,15.061,0.532,4.570,7.713,6.552,3.212,14785.000,31.110,1.334900,1.359,162.400000,3.486,-0.180,5.170,5.340,78.453
"11 JUN2007",4.295,4.470,4.583,4.588,4.180,"_",4.752,-1.262,0.041,0.885,0.645,4.550,96.390,0.221,0.305,0.260,0.402,5.919,5.613,18.330,"_","_","_",14.081,-0.883,25.648,7.174,16.814,0.996,5.573,7.717,6.494,3.533,14918.500,34.630,1.335500,1.405,162.550000,3.581,-0.220,5.040,5.290,78.456
"12 JUN2007",4.333,4.518,4.576,4.643,4.420,"_",4.808,-1.411,0.045,0.888,0.658,4.594,96.090,0.240,0.277,0.242,0.397,4.740,4.367,18.340,"_","_","_",13.144,-1.597,25.950,6.386,16.392,0.628,4.816,6.675,5.568,3.106,14743.500,34.480,1.334500,1.329,162.560000,3.588,-0.220,4.940,5.200,78.432
"13 JUN2007","_",4.551,4.658,4.703,4.440,"_",4.891,-1.680,0.042,0.898,0.680,4.667,95.920,0.237,"_",0.259,0.417,5.122,4.830,"_","_","_","_",13.282,-1.053,26.934,6.838,16.429,1.167,5.446,8.178,6.915,2.943,14824.000,35.310,1.328700,0.888,162.520000,3.562,-0.270,5.200,5.410,78.386
"14 JUN2007",4.330,4.538,4.594,4.669,4.448,"_",4.865,-1.570,0.044,0.890,0.649,4.637,95.910,0.232,0.290,0.242,0.411,6.811,6.587,16.460,"_","_","_",14.854,0.100,29.981,8.862,18.982,2.834,6.898,8.750,7.623,3.579,15068.000,31.110,1.330400,1.017,163.560000,4.225,-0.290,4.920,5.240,78.438
"15 JUN2007",4.330,4.552,4.639,4.704,4.429,"_",4.903,-1.736,0.037,0.890,0.625,4.668,96.090,0.270,0.300,0.248,0.406,7.874,7.815,16.650,"_","_","_",15.607,1.907,32.790,10.463,21.733,3.979,8.224,9.438,8.753,4.329,15244.000,17.140,1.331400,1.093,164.420000,4.773,-0.260,4.860,5.060,78.460
"18 JUN2007",4.332,4.538,4.600,4.691,4.437,"_",4.879,-1.995,0.039,0.908,0.581,4.624,96.200,0.240,0.298,0.232,0.369,6.916,6.766,16.550,"_","_","_",14.844,0.985,33.471,9.958,21.816,3.024,7.759,9.226,8.749,5.362,15002.000,17.260,1.340400,1.777,165.460000,5.436,-0.200,4.870,5.070,78.548
"19 JUN2007","_",4.518,4.593,4.669,4.608,"_","_",-1.934,0.042,0.907,0.566,4.637,94.940,0.252,"_",0.252,0.411,6.295,6.035,16.620,"_","_","_",14.795,0.686,33.325,9.886,21.777,3.380,6.903,9.406,8.755,5.444,14908.000,16.730,1.340300,1.769,165.460000,5.436,-0.180,4.770,5.000,78.522
"20 JUN2007",4.327,4.509,4.561,4.656,4.677,"_",4.833,-2.020,0.041,0.927,0.553,4.604,94.790,"_",0.293,0.261,0.384,6.595,6.286,16.620,"_","_","_",14.950,0.612,32.272,10.332,22.640,3.154,6.888,8.234,7.646,5.723,14931.000,16.930,1.342700,1.951,165.880000,5.703,-0.120,4.770,5.040,78.511
"21 JUN2007",4.354,4.556,4.640,4.692,4.597,"_",4.847,-1.942,0.041,0.920,0.576,4.634,94.750,0.251,0.286,0.224,0.378,5.554,5.202,16.580,"_","_","_",13.926,0.447,31.318,8.950,20.734,2.483,6.031,8.687,8.350,5.889,14771.500,17.060,1.339700,1.724,165.500000,5.461,-0.120,4.640,5.120,78.461
"22 JUN2007","_",4.525,4.613,4.698,4.600,"_",4.870,-1.867,0.041,0.928,0.593,4.662,94.650,"_","_",0.255,0.402,4.926,4.513,16.650,"_","_","_",13.452,-0.233,30.900,8.724,20.505,1.857,5.572,7.198,7.190,5.589,14642.000,17.120,1.344100,2.058,166.750000,6.258,-0.130,4.700,5.040,78.519
"25 JUN2007",4.320,4.508,"_",4.661,4.640,"_",4.824,-1.719,0.039,0.945,0.561,4.624,94.930,"_",0.310,0.232,0.389,5.259,4.961,16.630,"_","_","_",12.414,-0.754,29.838,8.524,20.217,1.802,5.909,7.132,6.699,5.002,14743.500,17.720,1.346100,2.210,166.210000,5.913,0.020,4.910,5.170,78.521
"26 JUN2007",4.319,4.497,4.576,4.645,4.660,"_",4.804,-1.839,0.041,0.948,0.548,4.603,95.050,0.250,0.311,0.263,0.395,4.586,4.303,16.680,"_","_","_",11.317,-1.435,28.047,7.600,19.154,0.662,5.441,7.017,6.578,4.878,14657.500,18.230,1.346000,2.202,165.780000,5.639,0.000,4.860,5.190,78.513
"27 JUN2007",4.316,4.455,4.524,4.596,4.700,"_",4.765,-1.843,0.050,0.934,0.569,4.549,95.400,0.266,0.304,0.285,0.404,4.164,3.783,16.700,"_","_","_",11.202,-1.056,26.050,7.092,18.256,0.231,4.932,7.739,7.869,3.619,14576.000,18.300,1.343800,2.035,164.690000,4.945,-0.040,5.000,5.270,78.474
"28 JUN2007","_",4.496,4.565,4.632,4.690,"_",4.806,-1.718,0.050,0.934,0.581,4.572,95.350,0.287,"_",0.274,0.378,5.060,4.760,16.730,"_","_","_",12.264,-0.262,28.988,8.205,20.077,0.962,5.634,7.696,7.994,4.101,14739.500,17.860,1.346700,2.255,165.610000,5.531,-0.060,4.790,5.160,78.489
"29 JUN2007",4.348,4.504,4.555,4.604,4.670,"_",4.774,-1.556,0.055,0.975,0.583,4.545,95.200,0.270,0.292,0.266,0.396,5.497,5.270,16.760,"_","_","_",12.993,0.034,29.269,8.977,21.380,1.597,6.223,7.586,7.781,5.297,14824.000,"_",1.350500,2.544,166.630000,6.181,0.000,4.780,5.080,78.552
"02 JUL2007",4.335,4.481,4.531,4.575,4.750,"_",4.725,-1.377,0.059,0.992,0.561,4.535,95.600,0.279,0.305,0.269,0.395,4.928,4.653,16.760,"_","_","_",14.199,1.739,29.566,8.503,20.636,1.730,5.945,8.604,8.985,5.344,14789.000,17.950,1.358800,3.174,166.660000,6.200,0.110,5.190,5.390,78.616
"03 JUL2007",4.350,4.463,4.543,4.589,4.920,"_",4.733,-1.464,0.046,0.966,0.527,4.531,95.300,0.280,0.290,0.277,0.371,5.423,5.110,16.390,"_","_","_",14.849,3.476,31.556,9.541,22.037,2.593,6.735,8.940,9.509,5.364,14853.000,17.250,1.360100,3.273,166.630000,6.181,0.100,5.130,5.300,78.616
"04 JUL2007",4.300,4.529,4.596,4.647,4.960,"_",4.796,-1.405,0.054,0.975,"_",4.593,95.000,"_",0.360,0.271,0.383,6.261,5.960,16.510,"_","_","_",16.091,3.838,32.949,9.813,22.410,2.637,7.271,"_","_",5.474,14954.000,16.980,1.361800,3.402,166.870000,6.334,0.130,5.100,5.380,78.625
"05 JUL2007","_",4.559,4.641,4.685,4.990,"_","_",-1.295,0.055,0.968,0.513,4.624,94.600,"_","_",0.261,0.375,5.650,5.379,16.560,"_","_","_",14.620,3.183,34.170,9.028,21.074,1.900,6.662,8.848,9.993,5.780,14901.500,17.500,1.364000,3.569,167.100000,6.481,0.170,5.220,5.440,78.640
"06 JUL2007",4.385,4.571,4.664,4.730,5.010,"_",4.867,-1.241,0.060,0.952,0.559,4.658,94.400,"_",0.305,0.279,0.370,6.575,6.445,16.730,"_","_","_",14.347,6.047,35.754,9.818,22.001,2.632,7.544,9.215,10.401,5.312,15061.500,17.460,1.359600,3.235,167.570000,6.780,0.150,5.070,5.300,78.634
"09 JUL2007",4.370,4.660,"_",4.734,5.020,"_","_",-1.401,0.060,0.962,0.560,4.679,94.400,0.270,0.310,0.200,0.386,6.063,5.854,16.750,"_","_","_",14.387,6.835,36.846,9.923,22.442,3.375,7.907,9.523,10.547,6.015,14968.500,17.800,1.362100,3.424,168.130000,7.137,0.150,5.180,5.280,78.656
"10 JUL2007","_",4.563,4.601,4.673,5.410,"_",4.854,-1.593,0.060,0.974,0.543,4.649,95.000,0.270,"_",0.277,0.417,4.996,4.788,16.030,"_","_","_",13.769,5.554,33.156,8.597,20.735,2.184,6.592,8.333,9.269,5.961,14827.500,18.720,1.366600,3.766,167.860000,6.965,0.220,5.410,5.500,78.693
"11 JUL2007","_",4.505,4.544,4.619,5.230,"_",4.792,-1.800,0.073,0.947,0.544,4.543,95.100,0.235,"_",0.245,0.351,4.604,4.381,16.800,"_","_","_",13.401,6.858,33.532,7.951,19.731,1.679,6.338,8.944,9.792,4.782,14770.000,19.850,1.375300,4.427,167.390000,6.665,0.310,5.690,5.750,78.732
"12 JUL2007","_",4.538,4.606,4.675,5.200,"_",4.842,-1.827,0.070,0.935,0.555,4.589,94.740,0.258,"_",0.272,0.345,5.802,5.622,17.040,"_","_","_",14.087,8.583,36.017,9.655,22.079,2.504,6.338,11.222,11.859,4.402,14950.500,18.970,1.378800,4.692,168.390000,7.303,0.300,5.630,5.770,78.781
"13 JUL2007","_",4.570,"_",4.700,5.170,"_",4.856,-1.656,0.065,0.969,0.556,4.630,94.620,"_","_",0.280,0.370,6.342,6.199,17.060,"_","_","_",14.257,7.567,37.519,10.258,22.675,2.723,7.666,11.587,12.078,5.881,15022.500,18.890,1.378200,4.647,168.680000,7.487,0.260,5.480,5.650,78.776
"16 JUL2007","_",4.570,4.636,4.666,5.200,"_","_",-1.366,0.068,0.983,0.558,4.609,94.970,"_","_",0.260,0.384,6.966,6.814,17.000,"_","_","_",14.079,7.524,37.847,10.622,22.871,2.807,7.972,11.938,11.677,"_",15115.000,20.670,1.378100,4.639,167.840000,6.952,0.240,5.420,5.510,78.735
"17 JUL2007","_",4.550,4.578,4.640,5.170,"_",4.808,-1.498,0.075,1.004,0.561,4.561,94.800,"_","_",0.240,0.350,7.243,7.120,16.990,"_","_","_",13.783,8.068,37.018,10.155,21.848,2.177,7.666,12.103,12.297,5.756,15167.000,21.060,1.377100,4.563,168.070000,7.099,0.000,"_","_",78.694
"18 JUL2007",4.420,4.549,4.601,4.638,5.210,"_","_",-1.595,0.077,0.986,0.545,4.564,95.160,0.276,0.260,0.261,0.372,6.533,6.448,16.550,"_","_","_",12.423,7.670,36.522,8.551,19.656,1.318,7.046,11.675,11.767,4.585,15050.000,20.990,1.377900,4.624,168.300000,7.245,0.270,5.360,5.490,78.695
"19 JUL2007",4.406,4.574,4.614,4.652,5.208,"_",4.803,-1.534,0.085,0.954,0.544,4.567,95.280,0.290,0.284,0.246,0.358,7.535,7.499,16.690,"_","_","_",12.896,9.531,38.934,9.774,21.135,2.216,5.567,12.334,12.618,5.171,15210.000,21.810,1.382000,4.935,168.660000,7.475,0.240,5.200,5.480,78.754
"20 JUL2007",4.395,4.523,4.551,4.586,5.640,"_",4.725,-1.463,0.080,0.971,0.574,4.472,95.930,0.260,0.285,0.257,0.354,5.753,5.539,15.910,"_","_","_",12.299,11.103,37.109,7.896,19.372,0.654,6.742,11.136,11.274,5.411,14924.500,16.490,1.380300,4.806,168.460000,7.347,0.240,5.210,5.390,78.714
"23 JUL2007",4.388,4.459,4.478,4.516,5.623,"_","_",-1.334,0.083,0.971,0.598,4.423,95.890,0.299,0.272,0.251,0.354,6.545,6.434,15.940,"_","_","_",11.889,11.362,38.740,8.806,20.423,1.390,5.858,11.877,11.398,4.283,15072.000,17.330,1.382100,4.943,167.580000,6.786,0.240,5.290,5.380,78.702
"24 JUL2007",4.395,4.472,4.479,4.524,5.660,"_",4.675,-1.361,0.083,0.973,0.581,4.448,96.020,0.257,0.275,0.248,0.356,5.596,5.420,16.120,"_","_","_",10.650,9.833,38.037,7.090,18.340,-0.529,6.488,10.060,9.298,4.506,14918.500,17.540,1.383300,5.034,167.220000,6.557,0.230,5.310,5.510,78.691
"25 JUL2007","_",4.440,4.462,4.502,5.650,"_","_",-1.051,0.083,0.976,0.579,4.418,96.180,0.260,"_",0.260,0.358,5.738,5.593,15.720,"_","_","_",9.746,8.865,32.863,5.849,16.608,-1.657,3.754,10.607,9.642,3.672,14940.500,18.820,1.374300,4.351,165.550000,5.493,0.140,5.320,5.500,78.589
"26 JUL2007","_",4.417,4.443,4.486,5.890,"_",4.647,-0.745,0.095,0.969,0.549,4.363,96.480,"_","_",0.213,0.314,3.054,2.784,17.050,"_","_","_",7.136,6.457,28.065,3.228,13.825,-3.661,0.489,8.107,7.620,2.765,14526.000,20.010,1.372200,4.191,164.520000,4.837,0.070,5.280,5.530,78.583
"27 JUL2007",4.330,4.340,4.378,4.423,5.820,"_",4.607,-0.722,0.097,0.962,0.491,4.308,96.690,"_",0.290,0.230,0.327,3.413,3.117,17.060,"_","_","_",7.570,6.183,27.430,3.025,12.957,-3.967,-0.090,6.438,6.084,0.337,14570.000,20.920,1.365100,3.652,162.120000,3.307,0.020,5.710,5.840,78.517
"30 JUL2007",4.325,"_",4.364,4.405,5.810,"_",4.605,-0.631,0.098,0.953,0.521,4.285,96.870,0.237,0.285,"_",0.315,2.918,2.555,17.080,"_","_","_",8.312,7.487,28.207,2.894,13.027,-4.058,-0.236,7.182,6.955,0.368,14472.000,21.500,1.365900,3.713,161.580000,2.963,0.030,5.940,6.010,78.547
"31 JUL2007",4.336,4.361,4.411,4.452,5.800,"_",4.612,-0.523,0.099,0.966,0.538,4.364,96.530,"_",0.304,0.279,0.358,4.886,4.636,17.360,"_","_","_",9.628,8.079,32.371,4.751,14.965,-2.439,2.239,6.008,5.423,0.134,14789.000,19.330,1.370700,4.077,163.590000,4.244,-0.050,5.610,5.790,78.596
"01 AGO2007",4.322,"_",4.386,4.414,5.880,"_",4.592,-0.275,0.105,0.946,0.453,4.323,96.470,0.240,0.298,"_",0.356,3.473,3.175,17.690,"_","_","_",7.891,7.086,28.371,2.843,13.294,-4.421,0.479,7.215,5.738,-2.060,14620.000,22.250,1.366300,3.743,161.900000,3.167,-0.020,5.760,5.990,78.553
"02 AGO2007",4.330,4.371,4.408,4.461,5.880,"_",4.612,-0.236,0.101,0.951,0.484,4.369,96.350,0.261,0.330,0.289,0.359,4.102,3.761,17.630,"_","_","_",8.565,6.471,29.903,4.095,14.207,-3.866,1.278,8.025,6.653,-1.403,14692.500,20.440,1.366400,3.751,162.800000,3.741,-0.090,5.430,5.900,78.549
"03 AGO2007",4.347,4.385,4.413,4.442,5.880,"_",4.558,-0.342,0.094,0.951,0.471,4.355,96.750,0.243,0.333,0.254,0.348,3.037,2.741,17.780,"_","_","_",6.848,5.022,28.375,2.652,12.714,-4.708,0.056,5.767,3.973,-1.428,14538.500,20.610,1.369400,3.979,163.240000,4.021,-0.050,5.380,5.760,78.572
"06 AGO2007","_",4.328,4.365,4.389,5.851,"_","_",-0.223,0.097,0.958,0.419,4.319,96.720,"_","_",0.262,0.381,2.242,2.019,17.790,"_","_","_",5.606,3.604,21.540,2.011,12.847,-5.357,-0.510,8.069,5.467,-1.808,14432.500,22.710,1.381800,4.920,162.880000,3.791,0.130,6.020,6.200,78.706
"07 AGO2007",4.330,"_",4.388,4.446,5.804,"_",4.592,-0.314,0.092,0.938,0.454,4.343,96.570,0.260,0.340,"_",0.334,3.804,3.580,17.980,"_","_","_",7.052,5.415,24.039,3.807,13.896,-3.681,1.415,8.354,6.058,-1.765,14662.000,21.580,1.379400,4.738,163.670000,4.295,0.130,5.940,6.150,78.723
"08 AGO2007","_",4.422,4.467,4.499,5.817,"_",4.641,-0.290,0.084,0.933,0.459,4.422,96.060,"_","_",0.258,0.351,6.190,6.063,18.850,"_","_","_",9.113,8.230,29.644,5.929,15.295,-1.636,2.783,9.586,8.185,-1.141,15016.500,20.130,1.379400,4.738,164.500000,4.824,0.130,5.780,6.040,78.709
"09 AGO2007","_",4.383,4.422,4.471,5.841,"_",4.619,-0.163,0.089,0.957,0.459,4.392,96.250,"_","_",0.247,0.349,5.001,4.890,18.920,"_","_","_",7.927,9.033,27.115,3.768,12.986,-2.959,0.810,6.479,5.846,-0.321,14858.500,21.650,1.372900,4.244,162.680000,3.664,0.000,6.150,6.270,78.626
"10 AGO2007","_",4.257,4.349,4.440,5.851,"_",4.595,-0.200,0.092,0.950,0.444,4.325,96.540,0.440,"_",0.263,0.330,2.284,2.173,19.890,"_","_","_",4.956,6.286,20.410,1.004,11.313,-5.516,-2.934,6.229,5.366,-2.681,14438.000,26.520,1.365000,3.645,160.370000,2.192,-0.090,6.530,6.590,78.532
"13 AGO2007","_",4.304,4.370,4.464,5.855,"_",4.613,-0.337,0.090,0.929,0.502,4.374,96.400,0.502,"_",0.246,0.346,4.111,4.137,20.060,"_","_","_",5.298,4.564,23.905,3.297,13.300,-4.195,-0.029,6.205,5.256,-2.472,14728.000,26.930,1.365100,3.652,161.470000,2.893,-0.300,6.500,6.550,78.574
"14 AGO2007",4.266,4.292,4.376,4.457,5.844,"_",4.637,-0.284,0.083,0.890,0.455,4.384,96.550,0.521,0.474,0.278,0.373,2.974,2.874,20.184,"_","_","_",5.008,2.816,20.526,1.836,12.554,-4.970,-1.243,4.540,3.471,-2.213,14552.500,28.020,1.359100,3.197,160.740000,2.428,-0.330,6.660,6.680,78.542
"15 AGO2007",4.222,4.231,4.318,4.412,5.938,"_",4.599,-0.079,0.084,0.891,0.450,4.314,96.690,"_",0.518,0.239,0.358,2.758,2.644,20.190,"_","_","_",4.889,0.709,18.304,1.532,12.869,"_",-1.792,3.196,1.803,-4.355,14527.500,28.820,1.347600,2.323,157.390000,0.293,-0.480,7.350,7.370,78.411
"16 AGO2007",4.105,4.078,4.171,4.363,5.924,"_",4.591,-0.112,0.078,0.874,0.463,4.254,97.190,0.601,0.655,0.222,0.317,-0.999,-1.179,22.090,"_","_","_",-0.035,-3.803,7.262,-1.398,10.204,-8.321,-5.818,3.070,1.481,-6.254,13969.500,37.270,1.340500,1.784,153.190000,-2.383,-0.600,8.150,8.260,78.278
"17 AGO2007",4.054,4.031,4.150,4.382,5.931,"_","_",-0.260,0.086,0.830,0.450,4.247,97.030,0.810,0.716,0.269,0.308,0.691,0.643,22.420,"_","_","_",0.491,-2.477,11.465,0.904,11.844,-6.565,-2.517,4.942,3.715,-11.333,14260.000,26.480,1.345400,2.156,152.740000,-2.670,-0.450,6.950,6.950,78.323
"20 AGO2007","_","_",4.178,4.387,5.916,"_",4.647,0.046,0.081,0.859,0.436,4.301,97.170,0.670,"_","_",0.353,0.932,0.867,22.350,"_","_","_",0.904,-0.512,14.697,1.295,12.288,-6.033,-2.284,5.281,3.863,-8.669,14303.500,26.390,1.347600,2.323,155.140000,-1.141,-0.470,6.850,6.930,78.365
"21 AGO2007",4.006,3.960,4.075,4.325,5.973,"_",4.604,0.367,0.079,0.828,0.420,4.233,97.450,0.690,0.774,0.270,0.345,0.699,0.660,22.350,"_","_","_",0.429,-1.836,13.743,1.338,12.549,-5.927,-2.165,5.037,4.389,-7.689,14267.500,25.920,1.350800,2.566,154.980000,-1.243,-0.450,7.300,7.230,78.405
"22 AGO2007","_",4.065,4.130,4.357,6.117,"_",4.627,0.469,0.075,0.852,0.416,4.275,97.020,0.690,"_",0.245,0.343,1.558,1.504,22.450,"_","_","_",2.091,-0.498,18.166,2.587,13.697,-4.306,-0.399,6.202,5.693,-7.693,14375.500,23.680,1.349300,2.453,155.320000,-1.026,-0.400,6.680,6.680,78.384
"23 AGO2007",4.182,4.189,4.243,4.399,6.138,"_","_",0.376,0.085,0.858,0.425,4.300,97.170,0.720,0.648,0.231,0.341,1.176,1.032,22.430,"_","_","_",1.894,-0.905,20.026,2.572,13.871,-4.039,-0.384,6.200,5.234,-5.280,14293.500,23.860,1.357400,3.068,158.260000,0.848,-0.300,6.380,6.330,78.462
"24 AGO2007",4.120,4.095,4.219,4.336,6.145,"_",4.592,0.653,0.085,0.890,0.430,4.243,97.250,"_",0.760,0.275,0.354,1.449,1.328,22.440,"_","_","_",2.254,-0.222,21.834,2.881,13.800,-3.411,-0.011,7.347,6.682,-5.671,14359.000,22.010,1.361500,3.379,157.700000,0.491,-0.150,6.200,6.300,78.501
"27 AGO2007",4.149,"_",4.203,4.379,6.139,"_","_",0.510,0.088,0.839,0.404,4.303,97.380,0.813,0.781,"_",0.371,1.322,1.124,22.200,"_","_","_",2.523,-0.678,23.853,2.937,13.477,-3.534,"_",6.892,6.043,-5.367,14317.500,22.560,1.365800,3.705,158.630000,1.083,0.000,0.000,0.000,78.532
"28 AGO2007",4.095,4.103,4.185,4.330,6.156,"_","_",0.429,0.093,0.910,0.382,4.241,97.460,0.842,0.835,0.267,0.350,0.124,-0.153,22.160,"_","_","_",1.722,-2.844,21.200,1.232,12.632,-5.321,-1.907,4.643,3.534,-5.447,14130.000,23.690,1.366400,3.751,157.550000,0.395,-0.130,6.280,6.330,78.527
"29 AGO2007",4.070,4.056,4.177,4.303,6.229,"_",4.582,0.517,0.099,0.865,0.362,4.213,97.450,0.823,0.860,0.284,0.347,0.475,0.262,22.200,"_","_","_",1.566,-2.420,21.657,1.787,12.767,-4.465,-1.424,6.629,6.122,-7.042,14174.500,22.560,1.363100,3.500,156.480000,-0.287,-0.130,6.640,6.590,78.479
