"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"26 ENE2000",3.770,4.800,5.250,5.727,24.935,5.943,6.215,-0.929,0.213,0.273,1.293,5.514,86.930,0.185,0.310,0.060,0.383,-1.692,-5.240,21.465,-1.773,-5.211,-9.208,-1.862,"_",-6.718,-3.740,0.161,-2.126,-8.003,-4.037,0.015,0.934,11024.500,27.970,1.001900,-0.269,106.040000,3.222,0.250,10.500,10.650,74.096
"27 ENE2000","_",4.881,5.313,5.779,24.943,5.981,6.091,-0.955,0.225,0.248,1.239,5.554,86.100,0.181,"_",0.059,0.381,-0.072,-3.735,21.500,1.189,-3.761,-10.193,-2.784,"_",-6.321,-2.399,2.414,-0.595,-7.059,-4.080,-0.731,1.454,11199.000,27.000,0.997600,-0.697,105.430000,2.628,0.200,10.950,10.800,74.039
"28 ENE2000","_",4.931,5.349,5.849,24.947,6.074,6.254,-0.711,0.214,0.279,1.226,5.634,86.170,0.181,"_",0.209,0.431,-1.914,-5.430,22.014,0.115,-5.387,-12.560,-3.435,"_",-5.006,-2.498,1.559,-1.047,-8.003,-6.595,-4.478,2.643,10953.500,27.750,0.984800,-1.971,103.740000,0.983,0.050,11.550,11.400,73.845
"31 ENE2000","_",4.925,5.340,5.798,24.884,6.030,6.205,-0.681,0.195,0.302,1.232,5.603,86.770,0.190,"_",0.255,0.442,-3.362,-6.926,21.740,-0.984,-6.501,-14.644,-4.433,"_",-5.782,-4.485,-1.761,-2.003,-9.548,-4.841,-3.169,3.197,10804.000,29.290,0.979100,-2.538,104.620000,1.840,0.050,12.900,12.350,73.845
"01 FEB2000","_",4.871,5.299,5.741,24.940,5.968,6.161,-0.868,0.229,0.243,1.236,5.513,87.340,0.185,"_",0.269,0.419,-2.169,-5.767,21.703,1.216,-5.611,-14.632,-4.615,"_",-5.734,-2.292,1.327,0.023,-9.225,-3.967,-0.426,2.583,10983.500,28.580,0.971000,-3.345,104.620000,1.840,0.050,12.700,11.950,73.747
"02 FEB2000",3.810,4.833,5.236,5.689,24.919,5.912,6.111,-1.140,0.236,0.246,1.281,5.454,87.280,"_",0.360,0.267,0.431,-0.525,-3.829,22.157,3.813,-5.571,-12.435,-5.093,"_",-4.466,-0.048,3.073,1.619,-9.053,-4.296,0.114,3.404,11250.500,27.470,0.971700,-3.275,105.510000,2.706,"_",12.900,12.150,73.806
"03 FEB2000",3.914,4.861,5.285,5.717,24.936,5.886,6.091,-0.878,0.235,0.208,1.163,5.482,87.430,"_","_","_","_",2.261,-0.836,23.113,7.092,-4.383,-8.860,-4.406,"_",-4.476,2.888,5.693,4.185,-8.743,-4.207,3.481,4.500,11579.500,26.400,0.974800,-2.966,105.780000,2.969,0.150,12.600,12.000,73.873
"04 FEB2000","_",4.819,5.241,5.638,24.945,5.806,5.997,-0.631,0.214,0.263,1.184,5.424,87.050,0.219,"_",0.271,0.422,2.559,-0.527,23.057,7.947,-4.726,-8.623,-3.969,"_",-3.123,4.390,6.991,4.782,-10.753,-4.639,4.296,4.377,11647.500,25.240,0.983500,-2.100,105.990000,3.173,"_",12.450,12.000,74.080
"07 FEB2000","_",4.906,5.342,5.752,24.942,5.937,6.011,-0.316,0.225,0.222,1.166,5.527,86.840,0.205,"_",0.294,0.428,2.059,-1.156,22.790,6.553,-4.512,-8.724,-2.660,"_",-3.274,2.786,4.860,3.501,-11.711,-5.143,6.204,5.340,11482.500,26.340,0.976700,-2.777,106.020000,3.203,0.400,12.350,12.150,73.944
"08 FEB2000","_",4.923,5.334,5.737,24.832,5.915,6.075,-0.454,0.223,0.210,1.213,5.514,87.250,0.193,"_",0.257,0.413,4.753,1.661,23.537,8.678,-1.934,-5.314,-1.329,"_",-3.539,5.540,8.504,6.650,-9.298,-4.693,8.802,4.936,11836.500,25.370,0.990300,-1.423,107.910000,5.042,0.350,12.400,12.000,74.176
