"","SI_2_2.1","SI_2_2.2","SI_2_2.3","SI_2_2.4","SI_2_2.5","SI_2_2.6","SI_2_2.7","SI_2_2.8","SI_2_2.9","SI_2_2.10","SI_2_2.11","SI_2_2.12","SI_2_2.13"
"NÚMERO SECUENCIAL",905832,905833,905834,905835,905836,905837,3775808,905838,905839,905840,905841,905842,905843
"DESCRIPCIÓN DE LA SERIE","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. VARIACIÓN DEL TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MARGINAL","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MEDIO","INTERVENCIÓN BCE. TIPO FACILIDAD DE CRÉDITO","INTERVENCIÓN BCE. TIPO FACILIDAD DE DEPÓSITO","ECONOMIA MUNDIAL. TIPO DE INTERÉS DÍA A DÍA. MERCADOS UEM. INTERBANCARIO. ESTER. BCE. ","MERCADOS MONETARIOS. TIPO EONIA","MERCADOS MONETARIOS. EURIBOR 1 MES","MERCADOS MONETARIOS. EURIBOR 3 MESES","MERCADOS MONETARIOS. EURIBOR 6 MESES","MERCADOS MONETARIOS. EURIBOR 12 MESES","FUTUROS EURIBOR 3 MESES. PRIMER VENCIMIENTO"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"22 AGO2002","_","_","_","_",4.250,2.250,"_",3.290,3.333,3.369,3.427,3.556,96.630
"23 AGO2002","_","_","_","_",4.250,2.250,"_",3.290,3.337,3.368,3.419,3.529,96.633
"26 AGO2002","_","_","_","_",4.250,2.250,"_",3.290,3.339,3.368,3.422,3.524,96.640
"27 AGO2002",3.250,0.000,3.280,3.290,4.250,2.250,"_",3.290,3.339,3.367,3.415,3.511,96.625
"28 AGO2002","_","_","_","_",4.250,2.250,"_",3.290,3.339,3.367,3.405,3.490,96.648
"29 AGO2002","_","_","_","_",4.250,2.250,"_",3.290,3.338,3.360,3.367,3.414,96.660
"30 AGO2002","_","_","_","_",4.250,2.250,"_",3.340,3.337,3.358,3.361,3.401,96.670
"02 SEP2002","_","_","_","_",4.250,2.250,"_",3.290,3.335,3.351,3.339,3.365,96.683
"03 SEP2002",3.250,0.000,3.280,3.290,4.250,2.250,"_",3.290,3.335,3.341,3.329,3.339,96.683
"04 SEP2002","_","_","_","_",4.250,2.250,"_",3.290,3.324,3.326,3.301,3.293,96.710
"05 SEP2002","_","_","_","_",4.250,2.250,"_",3.290,3.317,3.314,3.266,3.233,96.725
"06 SEP2002","_","_","_","_",4.250,2.250,"_",3.280,3.312,3.306,3.257,3.223,96.740
"09 SEP2002","_","_","_","_",4.250,2.250,"_",3.280,3.315,3.316,3.311,3.296,96.683
"10 SEP2002",3.250,0.000,3.270,3.280,4.250,2.250,"_",3.290,3.315,3.317,3.317,3.314,96.690
"11 SEP2002","_","_","_","_",4.250,2.250,"_",3.290,3.314,3.315,3.318,3.330,96.685
"12 SEP2002","_","_","_","_",4.250,2.250,"_",3.290,3.313,3.315,3.314,3.329,96.690
"13 SEP2002","_","_","_","_",4.250,2.250,"_",3.290,3.313,3.312,3.281,3.244,96.695
"16 SEP2002","_","_","_","_",4.250,2.250,"_",3.290,3.314,3.313,3.286,3.253,96.750
"17 SEP2002",3.250,0.000,3.280,3.290,4.250,2.250,"_",3.290,3.314,3.314,3.292,3.255,96.740
"18 SEP2002","_","_","_","_",4.250,2.250,"_",3.290,3.313,3.308,3.264,3.198,96.755
"19 SEP2002","_","_","_","_",4.250,2.250,"_",3.290,3.315,3.307,3.262,3.207,96.760
"20 SEP2002","_","_","_","_",4.250,2.250,"_",3.360,3.314,3.300,3.233,3.177,96.775
"23 SEP2002","_","_","_","_",4.250,2.250,"_",3.630,3.314,3.297,3.227,3.172,96.800
"24 SEP2002",3.250,0.000,3.280,3.290,4.250,2.250,"_",3.310,3.314,3.292,3.219,3.155,96.825
"25 SEP2002","_","_","_","_",4.250,2.250,"_",3.310,3.315,3.287,3.201,3.136,96.775
"26 SEP2002","_","_","_","_",4.250,2.250,"_",3.310,3.319,3.288,3.218,3.169,96.775
"27 SEP2002","_","_","_","_",4.250,2.250,"_",3.310,3.322,3.297,3.223,3.164,96.775
"30 SEP2002","_","_","_","_",4.250,2.250,"_",3.420,3.319,3.297,3.202,3.113,96.835
"01 OCT2002",3.250,0.000,3.280,3.290,4.250,2.250,"_",3.300,3.313,3.279,3.164,3.062,96.810
"02 OCT2002","_","_","_","_",4.250,2.250,"_",3.300,3.314,3.283,3.185,3.113,96.810
"03 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.310,3.265,3.145,3.058,96.855
"04 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.303,3.254,3.131,3.052,96.870
"07 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.285,3.211,3.088,3.001,96.825
"08 OCT2002",3.250,0.000,3.270,3.280,4.250,2.250,"_",3.290,3.288,3.228,3.131,3.061,96.803
"09 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.298,3.230,3.131,3.044,96.820
"10 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.295,3.226,3.116,3.042,96.760
"11 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.312,3.259,3.181,3.147,96.740
"14 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.314,3.274,3.197,3.165,96.855
"15 OCT2002",3.250,0.000,3.280,3.290,4.250,2.250,"_",3.290,3.316,3.281,3.209,3.203,96.825
"16 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.319,3.301,3.225,3.230,96.830
"17 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.323,3.313,3.270,3.315,96.865
"18 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.317,3.292,3.191,3.175,96.870
"21 OCT2002","_","_","_","_",4.250,2.250,"_",3.350,3.311,3.263,3.164,3.145,96.855
"22 OCT2002",3.250,0.000,3.290,3.300,4.250,2.250,"_",3.370,3.311,3.258,3.172,3.168,96.880
"23 OCT2002","_","_","_","_",4.250,2.250,"_",3.320,3.306,3.250,3.162,3.158,96.930
"24 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.298,3.240,3.142,3.124,96.885
"25 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.296,3.253,3.163,3.148,96.850
"28 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.303,3.267,3.177,3.145,96.855
"29 OCT2002",3.250,0.000,3.290,3.290,4.250,2.250,"_",3.290,3.308,3.272,3.177,3.123,96.895
"30 OCT2002","_","_","_","_",4.250,2.250,"_",3.290,3.300,3.251,3.157,3.092,96.840
"31 OCT2002","_","_","_","_",4.250,2.250,"_",3.340,3.297,3.259,3.177,3.125,96.838
"01 NOV2002","_","_","_","_",4.250,2.250,"_",3.300,3.284,3.236,3.133,3.069,96.895
"04 NOV2002","_","_","_","_",4.250,2.250,"_",3.290,3.275,3.233,3.140,3.099,96.910
"05 NOV2002",3.250,0.000,3.250,3.260,4.250,2.250,"_",3.290,3.262,3.212,3.110,3.072,96.870
"06 NOV2002","_","_","_","_",4.250,2.250,"_",3.280,3.250,3.214,3.134,3.112,96.875
"07 NOV2002","_","_","_","_",4.250,2.250,"_",3.250,3.160,3.136,3.089,3.078,96.815
"08 NOV2002","_","_","_","_",4.250,2.250,"_",3.290,3.303,3.209,3.095,3.050,96.823
"11 NOV2002","_","_","_","_",4.250,2.250,"_",3.290,3.301,3.187,3.065,3.007,96.835
"12 NOV2002",3.250,0.000,3.280,3.280,4.250,2.250,"_",3.290,3.300,3.174,3.049,2.992,96.865
"13 NOV2002","_","_","_","_",4.250,2.250,"_",3.290,3.290,3.143,3.033,2.981,96.885
"14 NOV2002","_","_","_","_",4.250,2.250,"_",3.290,3.279,3.124,3.011,2.965,96.880
"15 NOV2002","_","_","_","_",4.250,2.250,"_",3.290,3.272,3.124,3.026,3.007,96.890
"18 NOV2002","_","_","_","_",4.250,2.250,"_",3.290,3.247,3.100,3.005,2.985,97.065
"19 NOV2002",3.250,0.000,3.270,3.290,4.250,2.250,"_",3.290,3.235,3.092,2.996,2.977,97.070
"20 NOV2002","_","_","_","_",4.250,2.250,"_",3.290,3.220,3.079,2.989,2.971,97.075
"21 NOV2002","_","_","_","_",4.250,2.250,"_",3.300,3.172,3.045,2.972,2.969,97.070
"22 NOV2002","_","_","_","_",4.250,2.250,"_",3.490,3.162,3.043,2.970,2.973,97.060
"25 NOV2002","_","_","_","_",4.250,2.250,"_",3.300,3.163,3.053,2.995,3.017,97.053
"26 NOV2002",3.250,0.000,3.290,3.310,4.250,2.250,"_",3.300,3.162,3.054,2.989,3.007,97.075
"27 NOV2002","_","_","_","_",4.250,2.250,"_",3.300,3.153,3.047,2.983,2.986,97.045
"28 NOV2002","_","_","_","_",4.250,2.250,"_",3.300,3.183,3.055,3.002,3.031,97.070
"29 NOV2002","_","_","_","_",4.250,2.250,"_",3.380,3.183,3.047,2.988,3.017,97.085
"02 DIC2002","_","_","_","_",4.250,2.250,"_",3.360,3.138,3.036,2.977,3.010,97.075
"03 DIC2002",3.250,0.000,3.250,3.250,4.250,2.250,"_",3.320,3.120,3.026,2.966,2.993,97.075
"04 DIC2002","_","_","_","_",4.250,2.250,"_",3.010,3.015,2.989,2.952,2.976,97.070
"05 DIC2002","_","_","_","_",4.250,2.250,"_",2.940,2.990,2.967,2.946,2.967,97.128
"06 DIC2002","_","_","_","_",3.750,1.750,"_",2.900,2.990,2.967,2.946,2.967,97.120
"09 DIC2002","_","_","_","_",3.750,1.750,"_",2.890,2.925,2.916,2.903,2.918,97.110
"10 DIC2002",2.750,-0.500,2.820,2.830,3.750,1.750,"_",2.890,2.930,2.918,2.894,2.887,97.100
"11 DIC2002","_","_","_","_",3.750,1.750,"_",2.880,2.937,2.923,2.903,2.895,97.093
"12 DIC2002","_","_","_","_",3.750,1.750,"_",2.880,2.947,2.930,2.901,2.879,97.070
"13 DIC2002","_","_","_","_",3.750,1.750,"_",2.890,2.959,2.939,2.894,2.849,97.063
"16 DIC2002","_","_","_","_",3.750,1.750,"_",2.890,2.975,2.942,2.889,2.854,97.175
"17 DIC2002",2.750,0.000,2.750,2.870,3.750,1.750,"_",2.970,2.974,2.941,2.891,2.858,97.175
"18 DIC2002","_","_","_","_",3.750,1.750,"_",2.970,2.972,2.940,2.884,2.835,97.180
"19 DIC2002","_","_","_","_",3.750,1.750,"_",3.350,2.999,2.939,2.880,2.829,97.170
"20 DIC2002","_","_","_","_",3.750,1.750,"_",3.500,3.005,2.943,2.875,2.822,97.155
"23 DIC2002",2.750,0.000,3.020,3.080,3.750,1.750,"_",3.700,3.005,2.949,2.867,2.820,97.165
"24 DIC2002","_","_","_","_",3.750,1.750,"_",3.050,3.000,2.945,2.868,2.819,97.165
"25 DIC2002","_","_","_","_","_","_","_","_","_","_","_","_","_"
"26 DIC2002","_","_","_","_",3.750,1.750,"_","_","_","_","_","_","_"
"27 DIC2002","_","_","_","_",3.750,1.750,"_",3.030,2.984,2.930,2.840,2.779,97.175
"30 DIC2002",2.750,0.000,2.850,2.950,3.750,1.750,"_",3.030,2.900,2.867,2.800,2.746,97.178
"31 DIC2002","_","_","_","_",3.750,1.750,"_",3.440,2.898,2.865,2.804,2.749,97.183
"01 ENE2003","_","_","_","_","_","_","_","_","_","_","_","_","_"
"02 ENE2003","_","_","_","_",3.750,1.750,"_",2.900,2.899,2.861,2.794,2.734,97.165
"03 ENE2003","_","_","_","_",3.750,1.750,"_",2.890,2.898,2.863,2.814,2.797,97.163
"06 ENE2003","_","_","_","_",3.750,1.750,"_",2.880,2.886,2.860,2.801,2.777,97.173
"07 ENE2003",2.750,0.000,2.830,2.840,3.750,1.750,"_",2.860,2.882,2.859,2.791,2.752,97.170
"08 ENE2003","_","_","_","_",3.750,1.750,"_",2.840,2.870,2.853,2.777,2.731,97.195
"09 ENE2003","_","_","_","_",3.750,1.750,"_",2.830,2.854,2.834,2.750,2.699,97.165
"10 ENE2003","_","_","_","_",3.750,1.750,"_",2.820,2.854,2.836,2.770,2.730,97.165
"13 ENE2003","_","_","_","_",3.750,1.750,"_",2.820,2.853,2.829,2.767,2.722,97.245
"14 ENE2003",2.750,0.000,2.800,2.810,3.750,1.750,"_",2.820,2.853,2.829,2.768,2.722,97.245
"15 ENE2003","_","_","_","_",3.750,1.750,"_",2.820,2.853,2.829,2.765,2.723,97.235
"16 ENE2003","_","_","_","_",3.750,1.750,"_",2.820,2.853,2.828,2.761,2.722,97.215
"17 ENE2003","_","_","_","_",3.750,1.750,"_",2.810,2.854,2.830,2.763,2.719,97.230
"20 ENE2003","_","_","_","_",3.750,1.750,"_",2.810,2.853,2.828,2.756,2.705,97.230
"21 ENE2003",2.750,0.000,2.800,2.810,3.750,1.750,"_",2.810,2.853,2.831,2.760,2.702,97.225
"22 ENE2003","_","_","_","_",3.750,1.750,"_",2.570,2.842,2.825,2.748,2.685,97.230
"23 ENE2003","_","_","_","_",3.750,1.750,"_",2.120,2.839,2.823,2.748,2.683,97.235
"24 ENE2003","_","_","_","_",3.750,1.750,"_",2.810,2.839,2.819,2.732,2.660,97.240
"27 ENE2003","_","_","_","_",3.750,1.750,"_",2.810,2.835,2.814,2.725,2.645,97.235
"28 ENE2003",2.750,0.000,2.790,2.810,3.750,1.750,"_",2.810,2.835,2.818,2.733,2.666,97.233
"29 ENE2003","_","_","_","_",3.750,1.750,"_",2.800,2.834,2.813,2.720,2.638,97.235
"30 ENE2003","_","_","_","_",3.750,1.750,"_",2.800,2.833,2.811,2.721,2.652,97.225
"31 ENE2003","_","_","_","_",3.750,1.750,"_",2.860,2.833,2.807,2.715,2.636,97.230
"03 FEB2003","_","_","_","_",3.750,1.750,"_",2.800,2.832,2.807,2.725,2.658,97.225
"04 FEB2003",2.750,0.000,2.780,2.790,3.750,1.750,"_",2.800,2.830,2.805,2.716,2.644,97.235
"05 FEB2003","_","_","_","_",3.750,1.750,"_",2.790,2.824,2.795,2.699,2.609,97.235
"06 FEB2003","_","_","_","_",3.750,1.750,"_",2.790,2.822,2.790,2.696,2.624,97.245
"07 FEB2003","_","_","_","_",3.750,1.750,"_",2.780,2.812,2.763,2.640,2.558,97.280
"10 FEB2003","_","_","_","_",3.750,1.750,"_",2.780,2.810,2.740,2.615,2.533,97.280
"11 FEB2003",2.750,0.000,2.760,2.780,3.750,1.750,"_",2.780,2.811,2.741,2.619,2.546,97.275
"12 FEB2003","_","_","_","_",3.750,1.750,"_",2.780,2.807,2.728,2.599,2.513,97.295
"13 FEB2003","_","_","_","_",3.750,1.750,"_",2.780,2.796,2.707,2.569,2.485,97.310
"14 FEB2003","_","_","_","_",3.750,1.750,"_",2.780,2.795,2.687,2.565,2.489,97.305
"17 FEB2003","_","_","_","_",3.750,1.750,"_",2.780,2.798,2.693,2.582,2.518,97.435
"18 FEB2003",2.750,0.000,2.770,2.780,3.750,1.750,"_",2.790,2.798,2.689,2.576,2.499,97.425
"19 FEB2003","_","_","_","_",3.750,1.750,"_",2.790,2.798,2.687,2.576,2.499,97.435
"20 FEB2003","_","_","_","_",3.750,1.750,"_",2.770,2.797,2.679,2.558,2.474,97.425
"21 FEB2003","_","_","_","_",3.750,1.750,"_",2.390,2.795,2.679,2.557,2.474,97.410
"24 FEB2003","_","_","_","_",3.750,1.750,"_",2.780,2.709,2.592,2.469,2.399,97.540
"25 FEB2003",2.750,0.000,2.750,2.760,3.750,1.750,"_",2.770,2.697,2.571,2.456,2.380,97.565
"26 FEB2003","_","_","_","_",3.750,1.750,"_",2.770,2.681,2.545,2.447,2.383,97.575
"27 FEB2003","_","_","_","_",3.750,1.750,"_",2.750,2.632,2.518,2.432,2.374,97.535
"28 FEB2003","_","_","_","_",3.750,1.750,"_",2.820,2.651,2.533,2.458,2.412,97.580
"03 MAR2003",2.750,0.000,2.750,2.750,3.750,1.750,"_",2.970,2.609,2.503,2.418,2.360,97.575
"04 MAR2003","_","_","_","_",3.750,1.750,"_",3.360,2.605,2.492,2.406,2.343,97.580
"05 MAR2003","_","_","_","_",3.750,1.750,"_",3.110,2.567,2.477,2.399,2.344,97.575
"06 MAR2003","_","_","_","_",3.750,1.750,"_",2.970,2.518,2.461,2.404,2.353,97.505
"07 MAR2003","_","_","_","_",3.500,1.500,"_",3.170,2.646,2.528,2.441,2.354,97.500
"10 MAR2003","_","_","_","_",3.500,1.500,"_",3.190,2.666,2.537,2.434,2.336,97.500
"11 MAR2003",2.500,-0.250,2.560,2.630,3.500,1.500,"_",2.840,2.657,2.540,2.429,2.335,97.485
"12 MAR2003","_","_","_","_",3.500,1.500,"_",2.650,2.641,2.538,2.439,2.347,97.485
"13 MAR2003","_","_","_","_",3.500,1.500,"_",2.610,2.637,2.545,2.455,2.381,97.460
"14 MAR2003","_","_","_","_",3.500,1.500,"_",2.610,2.638,2.567,2.496,2.471,97.435
"17 MAR2003","_","_","_","_",3.500,1.500,"_",2.600,2.628,2.561,2.472,2.429,97.505
"18 MAR2003",2.500,0.000,2.580,2.590,3.500,1.500,"_",2.590,2.631,2.576,2.501,2.499,97.513
"19 MAR2003","_","_","_","_",3.500,1.500,"_",2.510,2.601,2.562,2.474,2.464,97.508
"20 MAR2003","_","_","_","_",3.500,1.500,"_",2.370,2.585,2.544,2.473,2.474,97.525
"21 MAR2003","_","_","_","_",3.500,1.500,"_",2.720,2.572,2.537,2.463,2.461,97.490
"24 MAR2003",2.500,0.000,2.530,2.550,3.500,1.500,"_",2.560,2.566,2.529,2.471,2.473,97.520
"25 MAR2003","_","_","_","_",3.500,1.500,"_",2.560,2.565,2.528,2.462,2.455,97.515
"26 MAR2003","_","_","_","_",3.500,1.500,"_",2.560,2.565,2.527,2.469,2.468,97.500
"27 MAR2003","_","_","_","_",3.500,1.500,"_",2.560,2.577,2.526,2.461,2.447,97.505
"28 MAR2003","_","_","_","_",3.500,1.500,"_",2.560,2.574,2.529,2.463,2.447,97.518
"31 MAR2003","_","_","_","_",3.500,1.500,"_",2.660,2.572,2.522,2.435,2.394,97.535
"01 ABR2003",2.500,0.000,2.530,2.540,3.500,1.500,"_",2.550,2.568,2.514,2.423,2.373,97.545
"02 ABR2003","_","_","_","_",3.500,1.500,"_",2.540,2.551,2.505,2.425,2.395,97.545
"03 ABR2003","_","_","_","_",3.500,1.500,"_",2.540,2.545,2.502,2.421,2.391,97.520
"04 ABR2003","_","_","_","_",3.500,1.500,"_",2.540,2.576,2.517,2.434,2.409,97.520
"07 ABR2003","_","_","_","_",3.500,1.500,"_",2.540,2.583,2.528,2.459,2.455,97.490
"08 ABR2003",2.500,0.000,2.530,2.530,3.500,1.500,"_",2.540,2.578,2.527,2.454,2.443,97.480
"09 ABR2003","_","_","_","_",3.500,1.500,"_",2.540,2.574,2.523,2.445,2.419,97.485
"10 ABR2003","_","_","_","_",3.500,1.500,"_",2.540,2.573,2.519,2.436,2.403,97.485
"11 ABR2003","_","_","_","_",3.500,1.500,"_",2.540,2.574,2.522,2.451,2.433,97.475
"14 ABR2003","_","_","_","_",3.500,1.500,"_",2.540,2.587,2.545,2.504,2.508,97.495
"15 ABR2003",2.500,0.000,2.530,2.540,3.500,1.500,"_",2.540,2.589,2.555,2.531,2.542,97.495
"16 ABR2003","_","_","_","_",3.500,1.500,"_",2.550,2.587,2.561,2.532,2.539,97.478
"17 ABR2003","_","_","_","_",3.500,1.500,"_",2.640,2.589,2.556,2.517,2.505,97.490
"18 ABR2003","_","_","_","_","_","_","_","_","_","_","_","_","_"
"21 ABR2003","_","_","_","_",3.500,1.500,"_","_","_","_","_","_","_"
"22 ABR2003",2.500,0.000,2.540,2.550,3.500,1.500,"_",2.650,2.586,2.552,2.511,2.491,97.495
"23 ABR2003","_","_","_","_",3.500,1.500,"_",2.580,2.583,2.552,2.504,2.480,97.495
"24 ABR2003","_","_","_","_",3.500,1.500,"_",2.550,2.583,2.552,2.499,2.461,97.525
"25 ABR2003","_","_","_","_",3.500,1.500,"_",2.550,2.576,2.543,2.474,2.435,97.535
"28 ABR2003","_","_","_","_",3.500,1.500,"_",2.550,2.575,2.533,2.454,2.409,97.530
"29 ABR2003",2.500,0.000,2.550,2.550,3.500,1.500,"_",2.550,2.574,2.531,2.458,2.425,97.525
"30 ABR2003","_","_","_","_",3.500,1.500,"_",2.640,2.574,2.530,2.457,2.423,97.533
"01 MAY2003","_","_","_","_","_","_","_","_","_","_","_","_","_"
"02 MAY2003","_","_","_","_",3.500,1.500,"_",2.550,2.572,2.504,2.406,2.355,97.545
"05 MAY2003","_","_","_","_",3.500,1.500,"_",2.550,2.572,2.503,2.422,2.383,97.545
"06 MAY2003",2.500,0.000,2.530,2.540,3.500,1.500,"_",2.550,2.569,2.502,2.407,2.362,97.550
"07 MAY2003","_","_","_","_",3.500,1.500,"_",2.550,2.555,2.476,2.383,2.326,97.570
"08 MAY2003","_","_","_","_",3.500,1.500,"_",2.540,2.548,2.455,2.361,2.303,97.540
"09 MAY2003","_","_","_","_",3.500,1.500,"_",2.550,2.577,2.473,2.401,2.346,97.540
"12 MAY2003","_","_","_","_",3.500,1.500,"_",2.550,2.575,2.467,2.372,2.305,97.560
"13 MAY2003",2.500,0.000,2.530,2.540,3.500,1.500,"_",2.550,2.578,2.464,2.364,2.310,97.575
"14 MAY2003","_","_","_","_",3.500,1.500,"_",2.550,2.583,2.430,2.327,2.276,97.590
"15 MAY2003","_","_","_","_",3.500,1.500,"_",2.560,2.584,2.422,2.312,2.264,97.600
"16 MAY2003","_","_","_","_",3.500,1.500,"_",2.560,2.579,2.408,2.303,2.255,97.600
"19 MAY2003","_","_","_","_",3.500,1.500,"_",2.560,2.546,2.381,2.265,2.207,97.795
"20 MAY2003",2.500,0.000,2.570,2.580,3.500,1.500,"_",2.590,2.531,2.374,2.278,2.222,97.800
"21 MAY2003","_","_","_","_",3.500,1.500,"_",2.730,2.526,2.365,2.265,2.197,97.785
"22 MAY2003","_","_","_","_",3.500,1.500,"_",2.570,2.499,2.358,2.263,2.201,97.790
"23 MAY2003","_","_","_","_",3.500,1.500,"_",2.210,2.469,2.345,2.250,2.186,97.813
"26 MAY2003","_","_","_","_",3.500,1.500,"_",2.560,2.445,2.321,2.235,2.168,97.803
"27 MAY2003",2.500,0.000,2.590,2.610,3.500,1.500,"_",2.580,2.422,2.305,2.207,2.138,97.815
"28 MAY2003","_","_","_","_",3.500,1.500,"_",2.590,2.412,2.294,2.220,2.170,97.805
"29 MAY2003","_","_","_","_",3.500,1.500,"_",2.600,2.400,2.292,2.230,2.178,97.825
"30 MAY2003","_","_","_","_",3.500,1.500,"_",2.650,2.386,2.272,2.205,2.142,97.825
"02 JUN2003","_","_","_","_",3.500,1.500,"_",2.650,2.352,2.258,2.200,2.151,97.833
"03 JUN2003",2.500,0.000,2.500,2.500,3.500,1.500,"_",2.680,2.319,2.235,2.179,2.122,97.843
"04 JUN2003","_","_","_","_",3.500,1.500,"_",2.370,2.206,2.185,2.140,2.081,97.855
"05 JUN2003","_","_","_","_",3.500,1.500,"_",2.190,2.183,2.171,2.133,2.077,97.880
"06 JUN2003",2.000,-0.500,2.090,2.110,3.000,1.000,"_",2.150,2.158,2.147,2.085,2.009,97.875
"09 JUN2003","_","_","_","_",3.000,1.000,"_",2.140,2.150,2.134,2.089,2.016,97.875
"10 JUN2003","_","_","_","_",3.000,1.000,"_",2.130,2.150,2.133,2.079,2.007,97.895
"11 JUN2003","_","_","_","_",3.000,1.000,"_",2.140,2.148,2.123,2.049,1.959,97.890
"12 JUN2003","_","_","_","_",3.000,1.000,"_",2.140,2.156,2.124,2.048,1.959,97.883
"13 JUN2003","_","_","_","_",3.000,1.000,"_",2.140,2.154,2.125,2.041,1.944,97.878
"16 JUN2003","_","_","_","_",3.000,1.000,"_",2.140,2.152,2.129,2.033,1.929,97.930
"17 JUN2003",2.000,0.000,2.120,2.120,3.000,1.000,"_",2.130,2.154,2.137,2.060,1.965,97.915
"18 JUN2003","_","_","_","_",3.000,1.000,"_",2.130,2.162,2.141,2.067,1.991,97.905
"19 JUN2003","_","_","_","_",3.000,1.000,"_",2.200,2.161,2.142,2.065,1.987,97.915
"20 JUN2003","_","_","_","_",3.000,1.000,"_",2.160,2.163,2.142,2.056,1.976,97.915
"23 JUN2003","_","_","_","_",3.000,1.000,"_",2.110,2.159,2.143,2.063,1.993,97.910
"24 JUN2003",2.000,0.000,2.100,2.120,3.000,1.000,"_",2.120,2.161,2.146,2.065,1.989,97.910
"25 JUN2003","_","_","_","_",3.000,1.000,"_",2.120,2.156,2.139,2.055,1.975,97.925
"26 JUN2003","_","_","_","_",3.000,1.000,"_",2.120,2.159,2.140,2.072,2.024,97.883
"27 JUN2003","_","_","_","_",3.000,1.000,"_",2.140,2.158,2.148,2.101,2.073,97.870
"30 JUN2003","_","_","_","_",3.000,1.000,"_",2.380,2.156,2.147,2.091,2.060,97.895
"01 JUL2003",2.000,0.000,2.100,2.110,3.000,1.000,"_",2.120,2.155,2.145,2.071,2.021,97.885
"02 JUL2003","_","_","_","_",3.000,1.000,"_",2.120,2.149,2.142,2.069,2.035,97.880
"03 JUL2003","_","_","_","_",3.000,1.000,"_",2.120,2.147,2.142,2.076,2.047,97.875
"04 JUL2003","_","_","_","_",3.000,1.000,"_",2.120,2.147,2.140,2.075,2.037,97.885
"07 JUL2003","_","_","_","_",3.000,1.000,"_",2.110,2.146,2.136,2.074,2.036,97.880
"08 JUL2003",2.000,0.000,2.085,2.100,3.000,1.000,"_",2.100,2.141,2.134,2.083,2.057,97.875
"09 JUL2003","_","_","_","_",3.000,1.000,"_",2.100,2.134,2.131,2.077,2.042,97.875
"10 JUL2003","_","_","_","_",3.000,1.000,"_",2.100,2.132,2.135,2.081,2.047,97.870
"11 JUL2003","_","_","_","_",3.000,1.000,"_",2.090,2.129,2.129,2.084,2.047,97.870
"14 JUL2003","_","_","_","_",3.000,1.000,"_",2.090,2.131,2.129,2.082,2.044,97.915
"15 JUL2003",2.000,0.000,2.080,2.090,3.000,1.000,"_",2.090,2.131,2.129,2.087,2.051,97.895
"16 JUL2003","_","_","_","_",3.000,1.000,"_",2.090,2.131,2.133,2.115,2.115,97.900
"17 JUL2003","_","_","_","_",3.000,1.000,"_",2.090,2.129,2.130,2.108,2.098,97.890
"18 JUL2003","_","_","_","_",3.000,1.000,"_",2.080,2.128,2.128,2.110,2.104,97.895
"21 JUL2003","_","_","_","_",3.000,1.000,"_",2.080,2.124,2.127,2.111,2.115,97.890
"22 JUL2003",2.000,0.000,2.060,2.080,3.000,1.000,"_",2.090,2.124,2.133,2.116,2.124,97.890
"23 JUL2003","_","_","_","_",3.000,1.000,"_",1.830,2.120,2.126,2.106,2.108,97.895
"24 JUL2003","_","_","_","_",3.000,1.000,"_",2.060,2.117,2.122,2.094,2.080,97.895
"25 JUL2003","_","_","_","_",3.000,1.000,"_",2.050,2.118,2.120,2.097,2.101,97.900
"28 JUL2003","_","_","_","_",3.000,1.000,"_",2.040,2.117,2.119,2.097,2.098,97.895
"29 JUL2003",2.000,0.000,2.060,2.070,3.000,1.000,"_",2.050,2.118,2.119,2.101,2.106,97.900
"30 JUL2003","_","_","_","_",3.000,1.000,"_",2.070,2.118,2.121,2.110,2.125,97.895
"31 JUL2003","_","_","_","_",3.000,1.000,"_",2.110,2.118,2.121,2.104,2.112,97.865
"01 AGO2003","_","_","_","_",3.000,1.000,"_",2.080,2.120,2.129,2.155,2.232,97.873
