"","SI_2_2.1","SI_2_2.2","SI_2_2.3","SI_2_2.4","SI_2_2.5","SI_2_2.6","SI_2_2.7","SI_2_2.8","SI_2_2.9","SI_2_2.10","SI_2_2.11","SI_2_2.12","SI_2_2.13"
"NÚMERO SECUENCIAL",905832,905833,905834,905835,905836,905837,3775808,905838,905839,905840,905841,905842,905843
"DESCRIPCIÓN DE LA SERIE","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. VARIACIÓN DEL TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MARGINAL","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MEDIO","INTERVENCIÓN BCE. TIPO FACILIDAD DE CRÉDITO","INTERVENCIÓN BCE. TIPO FACILIDAD DE DEPÓSITO","ECONOMIA MUNDIAL. TIPO DE INTERÉS DÍA A DÍA. MERCADOS UEM. INTERBANCARIO. ESTER. BCE. ","MERCADOS MONETARIOS. TIPO EONIA","MERCADOS MONETARIOS. EURIBOR 1 MES","MERCADOS MONETARIOS. EURIBOR 3 MESES","MERCADOS MONETARIOS. EURIBOR 6 MESES","MERCADOS MONETARIOS. EURIBOR 12 MESES","FUTUROS EURIBOR 3 MESES. PRIMER VENCIMIENTO"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"10 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.132,-0.103,-0.036,0.038,0.157,100.030
"11 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.130,-0.104,-0.038,0.037,0.157,100.030
"14 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.140,-0.104,-0.038,0.037,0.157,0.000
"15 SEP2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.142,-0.104,-0.036,0.036,0.155,100.040
"16 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.136,-0.103,-0.037,0.036,0.156,100.040
"17 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.138,-0.103,-0.037,0.036,0.156,100.035
"18 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.141,-0.102,-0.037,0.036,0.154,100.040
"21 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.145,-0.104,-0.038,0.036,0.152,100.035
"22 SEP2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.142,-0.103,-0.039,0.034,0.150,100.050
"23 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.143,-0.107,-0.039,0.033,0.147,100.045
"24 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.143,-0.109,-0.040,0.032,0.148,100.035
"25 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.143,-0.111,-0.041,0.030,0.146,100.050
"28 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.146,-0.111,-0.041,0.029,0.145,100.040
"29 SEP2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.135,-0.113,-0.041,0.029,0.143,100.050
"30 SEP2015","_","_","_","_",0.300,-0.200,"_",-0.122,-0.113,-0.040,0.029,0.142,100.045
"01 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.142,-0.113,-0.043,0.027,0.140,100.055
"02 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.139,-0.113,-0.044,0.026,0.139,100.045
"05 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.144,-0.113,-0.046,0.027,0.137,100.050
"06 OCT2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.134,-0.112,-0.046,0.027,0.139,100.045
"07 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.139,-0.113,-0.046,0.028,0.140,100.045
"08 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.138,-0.114,-0.048,0.028,0.139,100.055
"09 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.142,-0.113,-0.049,0.028,0.139,100.050
"12 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.134,-0.113,-0.049,0.027,0.139,100.050
"13 OCT2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.136,-0.113,-0.049,0.026,0.139,100.050
"14 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.135,-0.113,-0.049,0.027,0.137,100.050
"15 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.143,-0.114,-0.052,0.024,0.134,100.050
"16 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.142,-0.116,-0.051,0.021,0.129,100.050
"19 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.142,-0.117,-0.054,0.019,0.128,100.050
