Date,Last,Open,Max,Min,Vol_K,Var_%
2017-04-06,423.0,429.25,430.75,422.0,,-1.69
2017-04-05,430.25,426.75,430.5,425.25,,0.7
2017-04-04,427.25,426.25,432.0,426.25,,-0.47
2017-04-03,429.25,430.5,434.0,428.75,,0.82
2017-03-31,425.75,422.0,431.25,417.0,,1.19
2017-03-30,420.75,425.0,426.25,419.75,,-1.12
2017-03-29,425.5,424.25,427.5,422.75,,0.18
2017-03-28,424.75,420.75,425.75,419.5,,0.83
2017-03-27,421.25,425.5,425.75,418.5,,-0.71
2017-03-24,424.25,421.5,426.25,421.0,,0.71
2017-03-23,421.25,421.75,424.75,420.25,,-0.24
2017-03-22,422.25,427.12,427.12,422.0,,-1.0
2017-03-21,426.5,430.25,430.5,423.25,,-0.99
2017-03-20,430.75,440.25,442.62,429.25,,-1.37
2017-03-17,436.75,435.5,437.62,433.0,,0.0
2017-03-16,436.75,436.5,440.75,434.75,,0.17
2017-03-15,436.0,431.25,437.0,430.75,,1.16
2017-03-14,431.0,431.25,434.5,428.75,,0.06
2017-03-13,430.75,440.25,441.75,430.25,,-2.55
2017-03-10,442.0,442.88,445.5,439.75,,-0.39
2017-03-09,443.75,447.75,450.75,442.5,,-0.84
2017-03-08,447.5,457.25,457.25,445.5,,-1.92
2017-03-07,456.25,459.25,460.75,451.0,,-0.54
2017-03-06,458.75,456.75,462.5,456.5,,0.99
2017-03-03,454.25,451.0,455.5,448.25,,0.17
2017-03-02,453.5,457.5,459.5,450.12,,-0.82
2017-03-01,457.25,443.0,457.25,442.5,,3.04
2017-02-28,443.75,440.75,454.38,439.25,,1.14
2017-02-27,438.75,447.5,447.75,438.25,,1.33
2017-02-24,433.0,438.38,438.5,430.25,,-0.92
2017-02-23,437.0,441.62,444.25,436.5,,-0.91
2017-02-22,441.0,437.75,443.0,435.5,,0.92
2017-02-21,437.0,439.0,440.75,435.25,,-0.96
2017-02-17,441.25,445.5,447.5,441.12,,-1.45
2017-02-16,447.75,454.25,464.25,447.5,,-1.59
2017-02-15,455.0,449.25,455.0,446.5,,1.17
2017-02-14,449.75,450.75,452.0,446.62,,-0.39
2017-02-13,451.5,448.0,456.0,444.5,,0.39
2017-02-10,449.75,442.75,450.75,441.25,,1.41
2017-02-09,443.5,431.0,443.5,429.75,,2.48
2017-02-08,432.75,430.25,433.0,427.75,,0.64
2017-02-07,430.0,423.0,430.0,420.0,,1.53
2017-02-06,423.5,428.5,432.5,423.25,,-1.71
2017-02-03,430.88,434.25,435.5,430.75,,-1.0
2017-02-02,435.25,433.0,437.75,429.75,,0.58
2017-02-01,432.75,421.25,432.75,417.25,,2.79
2017-01-31,421.0,415.5,421.0,413.25,,1.63
2017-01-30,414.25,417.5,419.0,413.12,,-1.78
2017-01-27,421.75,425.5,427.5,419.5,,-1.03
2017-01-26,426.12,425.25,430.5,422.0,,0.44
2017-01-25,424.25,425.38,428.88,423.25,,-0.82
2017-01-24,427.75,433.25,434.5,426.75,,-1.21
2017-01-23,433.0,429.25,433.0,427.5,,1.17
2017-01-20,428.0,423.0,428.0,421.75,,1.06
2017-01-19,423.5,430.75,430.75,423.5,,-1.74
2017-01-18,431.0,433.25,434.25,428.75,,-0.4
2017-01-17,432.75,426.0,437.62,423.75,,1.52
2017-01-13,426.25,426.75,426.75,419.5,,0.09
2017-01-12,425.88,418.75,429.88,414.5,,1.64
2017-01-11,419.0,425.0,426.0,412.25,,-1.87
2017-01-10,427.0,426.5,427.25,423.5,,-0.06
2017-01-09,427.25,424.0,428.25,421.12,,1.0
2017-01-06,423.0,425.75,428.0,422.0,,-0.59
2017-01-05,425.5,419.25,427.0,416.5,,1.79
2017-01-04,418.0,406.5,418.0,405.0,,2.86
2017-01-03,406.38,408.38,414.0,406.38,,-0.34
2016-12-30,407.75,405.75,409.25,404.75,,0.74
