Date,Last,Open,Max,Min,Vol_M,Var_%
2018-06-20,9788.9,9835.0,9876.8,9788.9,164.7,0.34
2018-06-19,9755.4,9656.6,9782.6,9598.5,172.89,-0.14
2018-06-18,9769.4,9818.0,9859.5,9717.0,145.64,-0.83
2018-06-15,9851.0,9980.1,9985.9,9798.9,377.07,-1.07
2018-06-14,9957.7,9862.4,9973.9,9836.5,180.25,0.59
2018-06-13,9899.1,9900.2,9923.9,9838.3,172.85,-0.15
2018-06-12,9914.4,9940.6,9961.6,9901.6,158.18,0.16
2018-06-11,9898.3,9835.0,9915.2,9799.1,199.95,1.56
2018-06-08,9746.3,9762.7,9772.2,9713.2,176.05,-0.84
2018-06-07,9829.0,9844.2,9940.6,9814.8,190.78,0.38
2018-06-06,9791.6,9702.7,9793.8,9654.4,202.43,1.09
2018-06-05,9686.4,9730.6,9812.9,9686.4,183.42,-0.66
2018-06-04,9750.3,9716.3,9830.7,9686.8,193.67,1.22
2018-06-01,9632.4,9544.7,9677.5,9529.0,238.95,1.76
2018-05-31,9465.5,9625.1,9649.0,9400.3,355.89,-1.05
2018-05-30,9566.2,9553.0,9618.3,9477.2,283.88,0.47
2018-05-29,9521.3,9668.4,9668.4,9447.6,364.03,-2.49
2018-05-28,9764.4,9891.4,9921.4,9732.6,155.74,-0.63
2018-05-25,9826.5,10031.0,10053.1,9722.8,298.27,-1.7
2018-05-24,9996.0,10045.5,10092.5,9964.0,155.88,-0.29
2018-05-23,10025.0,10101.8,10101.8,9957.8,157.92,-1.12
2018-05-22,10138.8,10081.5,10156.4,10060.8,145.4,0.72
2018-05-21,10066.5,10155.2,10155.9,10055.8,110.38,-0.45
2018-05-18,10112.4,10209.3,10221.0,10088.4,249.55,-1.02
2018-05-17,10216.4,10120.8,10216.4,10108.5,153.62,1.04
2018-05-16,10111.0,10189.8,10194.2,10089.8,212.0,-0.95
2018-05-15,10207.6,10237.9,10265.0,10159.1,152.74,-0.49
2018-05-14,10257.8,10277.2,10291.4,10215.3,108.96,-0.13
2018-05-11,10271.4,10245.2,10284.5,10242.1,120.33,0.24
2018-05-10,10246.6,10243.3,10257.1,10191.1,116.75,0.25
2018-05-09,10221.2,10163.7,10222.7,10138.9,133.26,0.52
2018-05-08,10168.1,10135.1,10180.5,10091.9,177.96,0.27
2018-05-07,10140.9,10114.2,10148.6,10106.3,89.76,0.36
2018-05-04,10104.1,10047.1,10104.1,10029.4,162.05,0.65
2018-05-03,10038.8,10080.7,10095.2,10017.6,140.96,-0.5
2018-05-02,10088.9,9982.6,10098.9,9981.4,157.39,1.09
2018-04-30,9980.6,9924.0,9995.4,9916.1,142.92,0.56
2018-04-27,9925.4,9894.2,9947.3,9883.8,139.09,0.23
2018-04-26,9902.3,9871.5,9914.7,9856.7,131.27,0.45
2018-04-25,9858.0,9829.2,9858.4,9793.0,161.12,-0.26
2018-04-24,9883.4,9922.7,9939.4,9848.4,188.82,-0.39
2018-04-23,9922.0,9898.6,9922.0,9862.6,118.07,0.38
2018-04-20,9884.2,9864.4,9908.0,9847.1,139.38,0.16
2018-04-19,9868.0,9861.8,9902.7,9838.8,120.8,0.11
2018-04-18,9857.3,9814.5,9871.3,9800.3,146.9,0.54
2018-04-17,9803.9,9785.4,9824.4,9762.3,112.4,0.39
2018-04-16,9766.1,9768.7,9796.5,9747.3,100.4,-0.01
2018-04-13,9767.3,9764.0,9858.9,9744.4,137.08,0.21
2018-04-12,9747.0,9733.0,9767.6,9706.1,127.53,0.12
2018-04-11,9735.8,9742.6,9786.3,9717.3,122.93,-0.28
2018-04-10,9763.5,9798.5,9806.0,9738.7,125.8,0.21
2018-04-09,9742.8,9735.1,9790.2,9716.8,99.21,0.62
2018-04-06,9682.8,9688.3,9734.2,9658.9,114.95,-0.6
2018-04-05,9740.9,9637.5,9761.8,9616.7,162.49,2.39
2018-04-04,9513.3,9555.5,9560.4,9417.3,151.22,-0.38
2018-04-03,9549.6,9532.1,9577.5,9500.0,129.87,-0.53
2018-03-29,9600.4,9595.6,9657.5,9581.7,153.27,0.48
2018-03-28,9555.0,9397.8,9555.0,9348.9,177.67,0.86
2018-03-27,9473.6,9518.2,9519.2,9441.6,137.67,0.99
2018-03-26,9381.0,9418.1,9460.6,9343.3,159.53,-0.13
2018-03-23,9393.1,9399.2,9428.9,9327.6,227.0,-0.99
2018-03-22,9487.4,9580.4,9648.3,9432.6,199.76,-1.49
2018-03-21,9630.9,9701.5,9702.4,9592.1,145.64,-0.52
2018-03-20,9681.6,9676.3,9693.2,9608.5,129.6,0.18
2018-03-19,9664.1,9733.9,9747.3,9646.0,123.28,-0.99
2018-03-16,9761.0,9676.2,9800.8,9664.0,313.97,0.79
2018-03-15,9684.2,9715.3,9720.6,9647.5,146.82,-0.04
2018-03-14,9688.5,9698.9,9737.4,9632.2,159.02,-0.03
2018-03-13,9691.7,9737.2,9811.4,9670.7,151.21,-0.37
2018-03-12,9727.5,9747.4,9761.3,9702.5,110.66,0.43
2018-03-09,9686.1,9651.0,9704.9,9631.5,117.28,0.41
2018-03-08,9646.2,9617.0,9666.4,9564.2,144.63,0.49
2018-03-07,9599.3,9561.3,9612.4,9547.1,132.06,0.13
2018-03-06,9586.8,9663.6,9677.0,9586.3,143.03,-0.04
2018-03-05,9590.8,9500.0,9604.2,9494.5,147.0,0.63
2018-03-02,9531.1,9680.0,9680.0,9510.8,208.31,-2.13
2018-03-01,9738.6,9795.3,9808.9,9715.2,161.71,-1.03
2018-02-28,9840.3,9869.8,9887.2,9830.2,203.42,-0.61
2018-02-27,9900.2,9930.3,9937.2,9863.4,153.54,-0.02
2018-02-26,9902.4,9888.4,9915.1,9841.7,156.6,0.81
2018-02-23,9822.4,9882.9,9891.1,9764.9,181.44,-0.55
2018-02-22,9876.5,9767.6,9903.1,9744.9,175.18,0.54
2018-02-21,9823.3,9874.5,9876.1,9777.5,155.38,-0.73
2018-02-20,9895.3,9806.9,9901.1,9806.9,153.24,0.91
2018-02-19,9806.2,9865.1,9905.4,9797.2,122.82,-0.26
2018-02-16,9832.1,9785.2,9839.7,9768.7,188.85,1.21
2018-02-15,9714.9,9770.7,9832.1,9674.9,165.51,0.3
2018-02-14,9686.2,9715.7,9743.9,9595.9,178.71,0.37
2018-02-13,9650.7,9788.5,9797.4,9650.7,164.8,-1.23
2018-02-12,9771.1,9760.1,9815.2,9731.0,170.17,1.36
2018-02-09,9639.6,9710.9,9752.2,9581.1,255.5,-1.2
2018-02-08,9756.3,9928.5,9959.8,9726.5,228.48,-2.21
2018-02-07,9976.9,9950.8,9988.5,9811.7,234.4,1.7
2018-02-06,9810.0,9794.9,9967.3,9721.5,313.3,-2.53
2018-02-05,10064.5,10138.4,10173.8,10058.5,195.01,-1.44
2018-02-02,10211.2,10359.3,10369.2,10205.3,203.69,-1.81
2018-02-01,10399.0,10518.3,10543.7,10359.4,197.54,-0.5
2018-01-31,10451.5,10436.4,10482.7,10422.1,190.19,0.22
2018-01-30,10428.2,10481.9,10506.4,10416.2,180.47,-1.21
2018-01-29,10555.6,10605.5,10605.7,10540.0,150.49,-0.38
2018-01-26,10595.4,10598.6,10635.1,10563.2,139.54,0.0
2018-01-25,10595.3,10564.6,10630.5,10559.7,183.93,0.31
2018-01-24,10563.0,10595.3,10617.2,10563.0,129.49,-0.44
2018-01-23,10609.5,10640.3,10643.4,10583.7,168.2,0.24
2018-01-22,10584.0,10503.6,10601.9,10488.3,179.08,1.0
2018-01-19,10479.5,10417.5,10500.1,10396.2,143.56,0.45
2018-01-18,10432.7,10500.1,10509.2,10403.2,123.09,-0.4
2018-01-17,10474.6,10475.6,10504.9,10441.2,144.36,-0.44
2018-01-16,10520.4,10479.0,10572.9,10466.2,160.06,0.51
2018-01-15,10467.2,10471.6,10493.7,10446.9,112.26,0.05
2018-01-12,10462.4,10463.7,10492.2,10443.4,154.55,0.26
2018-01-11,10435.2,10435.9,10475.0,10401.2,208.92,0.07
2018-01-10,10428.3,10423.2,10474.9,10399.1,210.84,0.02
2018-01-09,10426.5,10400.9,10461.9,10385.6,132.57,0.27
2018-01-08,10398.4,10439.8,10456.9,10398.4,135.17,-0.12
2018-01-05,10411.4,10343.1,10411.4,10343.1,145.84,0.94
2018-01-04,10314.4,10154.6,10325.0,10151.0,189.79,1.96
2018-01-03,10116.0,10101.4,10145.2,10083.6,137.8,0.37
2018-01-02,10079.1,10089.6,10097.9,10017.0,146.99,0.35
2017-12-29,10043.9,10091.3,10100.2,10028.7,118.04,-0.49
