,Date,Last,Open,Max,Min,Vol_K,Var_%,Index,dowjones_last_5_avg,dowjones_last_3_avg,dowjones_last_1
1870,2012-05-17,12442.49,12598.32,12611.42,12440.52,147000.43,-1.24,dow_jones,-0.37,-0.58,-0.26
1871,2012-05-16,12598.55,12617.32,12722.63,12597.34,143000.13,-0.26,dow_jones,-0.468,-0.583,-0.5
1872,2012-05-15,12632.0,12695.05,12758.43,12608.16,156000.06,-0.5,dow_jones,-0.486,-0.363,-0.98
1873,2012-05-14,12695.35,12818.49,12818.86,12661.48,143000.19,-0.98,dow_jones,-0.336,-0.287,-0.27
1874,2012-05-11,12820.6,12851.79,12918.01,12779.28,148000.37,-0.27,dow_jones,-0.536,-0.393,0.16
1875,2012-05-10,12855.04,12831.58,12931.71,12820.3,151000.65,0.16,dow_jones,-0.662,-0.523,-0.75
1876,2012-05-09,12835.06,12921.81,12921.81,12748.48,147000.46,-0.75,dow_jones,-0.528,-0.697,-0.59
1877,2012-05-08,12932.09,13000.73,13000.73,12810.39,138000.62,-0.59,dow_jones,-0.31,-0.657,-0.23
1878,2012-05-07,13008.53,13035.85,13049.09,12970.0,110000.08,-0.23,dow_jones,-0.286,-0.607,-1.27
1879,2012-05-04,13038.27,13204.62,13205.0,13022.34,113000.79,-1.27,dow_jones,0.004,-0.017,-0.47
1880,2012-05-03,13206.59,13267.59,13284.09,13175.64,102000.09,-0.47,dow_jones,0.272,0.103,-0.08
1881,2012-05-02,13268.57,13278.11,13278.11,13192.21,100000.77,-0.08,dow_jones,0.426,0.19,0.5
1882,2012-05-01,13279.32,13214.16,13338.66,13174.65,123000.4,0.5,dow_jones,0.442,0.313,-0.11
1883,2012-04-30,13213.63,13228.31,13228.76,13176.01,127000.87,-0.11,dow_jones,0.308,0.58,0.18
1884,2012-04-27,13228.31,13204.7,13266.68,13192.21,110000.85,0.18,dow_jones,0.372,0.713,0.87
1885,2012-04-26,13204.62,13090.11,13227.82,13075.96,107000.57,0.87,dow_jones,0.092,0.163,0.69
1886,2012-04-25,13090.72,12997.69,13105.7,12993.6,135000.26,0.69,dow_jones,-0.172,0.1,0.58
1887,2012-04-24,13001.56,12927.77,13050.3,12926.49,134000.11,0.58,dow_jones,0.012,-0.27,-0.78
1888,2012-04-23,12927.17,13028.2,13028.2,12845.58,139000.37,-0.78,dow_jones,0.28,-0.22,0.5
1889,2012-04-20,13029.26,12964.48,13082.54,12964.25,212000.08,0.5,dow_jones,-0.03,0.113,-0.53
1890,2012-04-19,12964.1,13028.73,13080.2,12896.82,139000.81,-0.53,dow_jones,0.358,0.477,-0.63
1891,2012-04-18,13032.75,13114.56,13114.56,13027.49,113000.52,-0.63,dow_jones,0.624,0.337,1.5
1892,2012-04-17,13115.54,12921.79,13131.36,12921.79,115000.32,1.5,dow_jones,-0.006,0.307,0.56
1893,2012-04-16,12921.41,12850.88,12986.77,12850.8,120000.99,0.56,dow_jones,-0.318,0.353,-1.05
1894,2012-04-13,12849.59,12986.2,12986.35,12845.28,140000.99,-1.05,dow_jones,-0.13,0.153,1.41
1895,2012-04-12,12986.58,12806.45,12986.96,12806.3,119000.78,1.41,dow_jones,-0.602,-0.65,0.7
1896,2012-04-11,12805.39,12716.92,12844.82,12716.92,125000.21,0.7,dow_jones,-0.84,-0.92,-1.65
1897,2012-04-10,12715.93,12929.44,12929.59,12710.56,159000.29,-1.65,dow_jones,-0.43,-0.687,-1.0
1898,2012-04-09,12929.59,13057.57,13057.72,12903.78,105000.58,-1.0,dow_jones,-0.13,-0.517,-0.11
1899,2012-04-05,13060.14,13067.18,13088.11,13012.46,109000.53,-0.11,dow_jones,-0.078,-0.347,-0.95
1900,2012-04-04,13074.75,13198.19,13198.19,13020.86,125000.0,-0.95,dow_jones,0.004,0.137,-0.49
1901,2012-04-03,13199.55,13258.96,13265.36,13131.21,123000.98,-0.49,dow_jones,0.036,0.35,0.4
1902,2012-04-02,13264.49,13211.36,13297.11,13153.69,108000.79,0.4,dow_jones,0.202,0.037,0.5
1903,2012-03-30,13212.04,13147.94,13224.49,13147.78,171000.19,0.5,dow_jones,0.156,-0.24,0.15
1904,2012-03-29,13145.82,13125.99,13151.57,13032.67,136000.25,0.15,dow_jones,0.006,0.12,-0.54
1905,2012-03-28,13126.21,13195.39,13212.64,13069.26,141000.54,-0.54,dow_jones,0.044,0.39,-0.33
1906,2012-03-27,13197.73,13242.09,13264.98,13194.33,129000.28,-0.33,dow_jones,0.006,0.3,1.23
1907,2012-03-26,13241.63,13082.62,13243.86,13082.39,122000.08,1.23,dow_jones,-0.23,-0.227,0.27
1908,2012-03-23,13080.73,13045.99,13099.91,13002.77,129000.93,0.27,dow_jones,-0.314,-0.49,-0.6
1909,2012-03-22,13046.14,13124.4,13124.47,13017.42,122000.06,-0.6,dow_jones,-0.106,-0.273,-0.35
1910,2012-03-21,13124.62,13170.79,13190.02,13112.93,124000.86,-0.35,dow_jones,-0.012,-0.207,-0.52
1911,2012-03-20,13170.19,13238.45,13238.45,13123.38,131000.66,-0.52,dow_jones,0.428,0.113,0.05
1912,2012-03-19,13239.13,13231.94,13269.71,13208.63,147000.12,0.05,dow_jones,0.476,0.137,-0.15
1913,2012-03-16,13232.62,13253.51,13289.08,13231.45,392000.62,-0.15,dow_jones,0.528,0.747,0.44
1914,2012-03-15,13252.76,13192.97,13253.51,13170.19,161000.65,0.44,dow_jones,0.55,0.697,0.12
1915,2012-03-14,13194.1,13177.15,13221.27,13166.25,163000.61,0.12,dow_jones,0.648,0.693,1.68
1916,2012-03-13,13177.68,12953.2,13180.4,12953.13,163000.13,1.68,dow_jones,-0.002,0.317,0.29
1917,2012-03-12,12959.71,12920.58,12976.36,12919.98,100000.0,0.29,dow_jones,-0.082,0.423,0.11
1918,2012-03-09,12922.02,12908.62,12968.79,12906.43,103000.24,0.11,dow_jones,-0.108,-0.137,0.55
1919,2012-03-08,12907.94,12835.53,12937.19,12835.53,103000.53,0.55,dow_jones,-0.174,-0.357,0.61
1920,2012-03-07,12837.33,12756.12,12857.73,12751.51,175000.11,0.61,dow_jones,-0.378,-0.567,-1.57
1921,2012-03-06,12759.15,12958.65,12958.73,12734.86,142000.33,-1.57,dow_jones,-0.028,0.03,-0.11
1922,2012-03-05,12962.81,12977.34,12977.34,12883.91,108000.63,-0.11,dow_jones,-0.008,-0.07,-0.02
1923,2012-03-02,12977.57,12980.75,12997.51,12927.77,93000.9,-0.02,dow_jones,-0.006,-0.003,0.22
1924,2012-03-01,12980.3,12952.29,13032.67,12943.06,139000.67,0.22,dow_jones,0.022,-0.08,-0.41
1925,2012-02-29,12952.07,13005.42,13055.75,12929.66,182000.46,-0.41,dow_jones,0.062,0.053,0.18
1926,2012-02-28,13005.12,12976.74,13021.51,12952.82,114000.49,0.18,dow_jones,0.05,0.113,-0.01
1927,2012-02-27,12981.51,12981.13,13027.52,12882.59,143000.53,-0.01,dow_jones,0.122,0.047,-0.01
1928,2012-02-24,12982.95,12981.2,13013.82,12950.59,89000.44,-0.01,dow_jones,0.316,0.09,0.36
1929,2012-02-23,12984.69,12937.08,12996.08,12882.67,120000.48,0.36,dow_jones,0.092,0.087,-0.21
1930,2012-02-22,12938.67,12966.22,12977.91,12914.83,124000.2,-0.21,dow_jones,0.14,0.477,0.12
1931,2012-02-21,12965.69,12949.34,13005.04,12926.11,164000.78,0.12,dow_jones,0.23,0.183,0.35
1932,2012-02-17,12949.87,12903.33,12967.92,12903.25,234000.65,0.35,dow_jones,0.022,0.077,0.96
1933,2012-02-16,12904.08,12779.81,12914.0,12779.58,134000.45,0.96,dow_jones,-0.16,-0.053,-0.76
1934,2012-02-15,12780.95,12864.65,12899.47,12753.62,127000.56,-0.76,dow_jones,0.0,-0.03,0.03
1935,2012-02-14,12878.28,12871.77,12878.88,12786.93,120000.05,0.03,dow_jones,0.046,-0.023,0.57
1936,2012-02-13,12874.04,12799.11,12887.93,12799.11,112000.24,0.57,dow_jones,-0.094,-0.2,-0.69
1937,2012-02-10,12801.23,12889.55,12889.63,12743.56,123000.62,-0.69,dow_jones,0.29,0.117,0.05
1938,2012-02-09,12890.46,12884.41,12924.71,12846.41,157000.08,0.05,dow_jones,0.262,0.057,0.04
1939,2012-02-08,12883.95,12865.79,12893.64,12817.69,138000.25,0.04,dow_jones,0.386,0.453,0.26
1940,2012-02-07,12878.2,12844.37,12903.71,12782.57,116000.15,0.26,dow_jones,0.302,0.337,-0.13
1941,2012-02-06,12845.13,12860.72,12860.79,12793.43,108000.04,-0.13,dow_jones,0.318,0.6,1.23
1942,2012-02-03,12862.23,12705.04,12869.95,12704.96,142000.84,1.23,dow_jones,-0.044,0.137,-0.09
1943,2012-02-02,12705.41,12716.54,12741.89,12676.05,114000.36,-0.09,dow_jones,-0.062,0.15,0.66
1944,2012-02-01,12716.46,12632.76,12784.62,12632.76,143000.5,0.66,dow_jones,-0.066,-0.263,-0.16
1945,2012-01-31,12632.91,12654.78,12720.1,12567.33,168000.07,-0.16,dow_jones,-0.086,-0.27,-0.05
1946,2012-01-30,12653.72,12659.17,12659.32,12529.41,130000.43,-0.05,dow_jones,-0.094,-0.04,-0.58
1947,2012-01-27,12660.46,12733.95,12733.95,12630.72,164000.41,-0.58,dow_jones,0.174,0.067,-0.18
1948,2012-01-26,12734.63,12757.33,12841.95,12695.16,130000.84,-0.18,dow_jones,0.282,0.097,0.64
1949,2012-01-25,12756.96,12673.63,12778.26,12580.12,137000.54,0.64,dow_jones,0.31,0.137,-0.26
1950,2012-01-24,12675.75,12708.37,12708.52,12613.54,125000.42,-0.26,dow_jones,0.458,0.343,-0.09
1951,2012-01-23,12708.82,12720.25,12764.49,12665.83,149000.86,-0.09,dow_jones,0.398,0.633,0.76
1952,2012-01-20,12720.48,12623.83,12720.48,12620.76,255000.1,0.76,dow_jones,0.28,0.54,0.36
1953,2012-01-19,12623.98,12578.19,12625.8,12563.58,148000.02,0.36,dow_jones,0.188,0.29,0.78
1954,2012-01-18,12578.95,12474.69,12582.28,12453.2,154000.17,0.78,dow_jones,0.144,0.087,0.48
1955,2012-01-17,12482.07,12423.12,12573.65,12423.12,148000.67,0.48,dow_jones,0.102,-0.107,-0.39
1956,2012-01-13,12422.06,12469.96,12470.12,12311.79,161000.47,-0.39,dow_jones,0.09,0.21,0.17
1957,2012-01-12,12471.02,12449.91,12483.7,12385.08,128000.23,0.17,dow_jones,0.052,0.243,-0.1
1958,2012-01-11,12449.45,12459.52,12462.58,12399.01,130000.26,-0.1,dow_jones,0.106,0.127,0.56
1959,2012-01-10,12462.47,12394.51,12514.69,12394.51,141000.23,0.56,dow_jones,0.288,-0.067,0.27
1960,2012-01-09,12392.69,12359.31,12409.08,12333.85,122000.2,0.27,dow_jones,0.12,-0.1,-0.45
1961,2012-01-06,12359.92,12407.45,12415.24,12332.41,131000.12,-0.45,dow_jones,0.434,0.54,-0.02
1962,2012-01-05,12415.7,12418.42,12435.98,12283.9,158000.44,-0.02,dow_jones,0.21,0.357,0.17
1963,2012-01-04,12418.42,12392.46,12430.0,12337.25,145000.13,0.17,dow_jones,0.172,0.673,1.47
1964,2012-01-03,12397.38,12221.19,12479.65,12221.19,152000.56,1.47,dow_jones,0.082,-0.197,-0.57
1965,2011-12-30,12217.56,12286.13,12290.06,12213.78,96000.67,-0.57,dow_jones,0.298,-0.013,1.12
1966,2011-12-29,12287.04,12152.09,12293.96,12152.09,84000.61,1.12,dow_jones,0.08,-0.047,-1.14
1967,2011-12-28,12151.41,12288.85,12299.11,12140.17,84000.01,-1.14,dow_jones,0.882,0.503,-0.02
1968,2011-12-27,12291.35,12293.47,12328.47,12269.97,95000.98,-0.02,dow_jones,0.718,0.52,1.02
1969,2011-12-23,12294.0,12169.8,12297.44,12169.8,80000.42,1.02,dow_jones,0.51,1.137,0.51
1970,2011-12-22,12169.65,12107.59,12182.71,12107.37,151000.61,0.51,dow_jones,0.484,0.687,0.03
1971,2011-12-21,12107.74,12103.28,12119.7,11999.44,163000.25,0.03,dow_jones,0.258,0.67,2.87
1972,2011-12-20,12103.58,11769.21,12117.13,11768.83,165000.18,2.87,dow_jones,-0.426,-0.16,-0.84
1973,2011-12-19,11766.26,11866.54,11925.88,11735.19,135000.18,-0.84,dow_jones,-0.526,-0.247,-0.02
1974,2011-12-16,11866.39,11870.25,11968.18,11819.31,389000.52,-0.02,dow_jones,-0.212,-0.423,0.38
1975,2011-12-15,11868.81,11825.29,11967.84,11825.22,136000.93,0.38,dow_jones,-0.614,-0.997,-1.1
1976,2011-12-14,11823.48,11949.72,11950.02,11786.47,161000.24,-1.1,dow_jones,-0.318,-0.113,-0.55
1977,2011-12-13,11954.94,12018.66,12147.7,11904.38,171000.91,-0.55,dow_jones,-0.122,-0.473,-1.34
1978,2011-12-12,12021.39,12181.08,12181.38,11940.86,149000.05,-1.34,dow_jones,0.276,0.1,1.55
1979,2011-12-09,12184.26,11996.03,12212.83,11995.51,154000.25,1.55,dow_jones,-0.036,-0.273,-1.63
