,Date,Last,Open,Max,Min,Vol_K,Var_%,Index,dax_last_5_avg,dax_last_3_avg,dax_last_1
2164,2011-04-08,7217.02,7226.79,7232.87,7195.44,117000.23,0.53,dax_index,0.392,0.017,-0.5
2165,2011-04-07,7178.78,7212.46,7241.09,7175.35,125000.93,-0.5,dax_index,0.448,0.163,0.55
2166,2011-04-06,7215.11,7197.37,7242.69,7157.68,153000.82,0.55,dax_index,0.692,0.637,-0.0
2167,2011-04-05,7175.31,7174.69,7186.35,7129.41,104000.32,-0.0,dax_index,0.68,0.563,-0.06
2168,2011-04-04,7175.33,7178.59,7200.26,7168.24,79000.27,-0.06,dax_index,0.67,1.173,1.97
2169,2011-04-01,7179.81,7086.56,7192.38,7086.56,103000.28,1.97,dax_index,0.312,0.497,-0.22
2170,2011-03-31,7041.31,7068.29,7079.76,7041.31,96000.95,-0.22,dax_index,0.736,0.533,1.77
2171,2011-03-30,7057.15,7010.77,7065.27,7002.77,100000.54,1.77,dax_index,0.452,0.003,-0.06
2172,2011-03-29,6934.44,6952.51,6960.16,6867.42,93000.21,-0.06,dax_index,0.36,0.657,-0.11
2173,2011-03-28,6938.63,6931.86,6981.19,6915.58,72000.64,-0.11,dax_index,0.838,0.81,0.18
2174,2011-03-25,6946.36,6971.77,6985.25,6920.57,80000.87,0.18,dax_index,0.824,0.577,1.9
2175,2011-03-24,6933.58,6798.08,6941.72,6787.04,103000.54,1.9,dax_index,0.884,0.703,0.35
2176,2011-03-23,6804.45,6749.18,6807.38,6720.02,95000.71,0.35,dax_index,0.412,0.623,-0.52
2177,2011-03-22,6780.97,6823.08,6826.03,6765.06,119000.67,-0.52,dax_index,-0.122,1.53,2.28
2178,2011-03-21,6816.12,6782.3,6829.75,6781.3,218000.42,2.28,dax_index,-0.908,0.1,0.11
2179,2011-03-18,6664.4,6715.17,6761.31,6655.69,252000.61,0.11,dax_index,-1.162,-1.0,2.2
2180,2011-03-17,6656.88,6557.85,6692.83,6517.18,146000.28,2.2,dax_index,-1.794,-2.283,-2.01
2181,2011-03-16,6513.84,6696.31,6733.03,6501.85,202000.7,-2.01,dax_index,-1.484,-2.0,-3.19
2182,2011-03-15,6647.66,6668.99,6714.83,6483.39,284000.44,-3.19,dax_index,-0.838,-1.257,-1.65
2183,2011-03-14,6866.63,6896.31,6946.44,6847.94,170000.81,-1.65,dax_index,-0.556,-0.86,-1.16
2184,2011-03-11,6981.49,7002.26,7014.02,6963.31,141000.42,-1.16,dax_index,-0.454,-0.46,-0.96
2185,2011-03-10,7063.09,7078.69,7109.71,7021.95,131000.97,-0.96,dax_index,-0.138,-0.22,-0.46
2186,2011-03-09,7131.8,7177.55,7217.54,7109.26,129000.98,-0.46,dax_index,-0.162,-0.283,0.04
2187,2011-03-08,7164.75,7211.06,7222.16,7072.47,143000.92,0.04,dax_index,-0.304,-0.09,-0.24
2188,2011-03-07,7161.93,7137.81,7270.81,7127.31,86000.67,-0.24,dax_index,-0.014,-0.203,-0.65
2189,2011-03-04,7178.9,7262.54,7311.25,7157.12,97000.46,-0.65,dax_index,0.27,-0.21,0.62
2190,2011-03-03,7225.96,7225.23,7294.04,7191.14,95000.32,0.62,dax_index,-0.032,-0.013,-0.58
2191,2011-03-02,7181.12,7169.04,7202.58,7122.69,111000.14,-0.58,dax_index,-0.254,0.437,-0.67
2192,2011-03-01,7223.3,7309.8,7356.33,7193.78,112000.18,-0.67,dax_index,-0.13,0.363,1.21
2193,2011-02-28,7272.32,7173.59,7305.49,7148.94,101000.48,1.21,dax_index,-0.654,-0.603,0.77
2194,2011-02-25,7185.17,7139.88,7194.02,7130.15,114000.08,0.77,dax_index,-0.75,-0.877,-0.89
2195,2011-02-24,7130.5,7134.7,7156.05,7093.91,137000.57,-0.89,dax_index,-0.596,-1.05,-1.69
2196,2011-02-23,7194.6,7295.12,7310.73,7183.3,118000.02,-1.69,dax_index,-0.22,-0.39,-0.05
