Date,Last,Open,Max,Min,Vol_K,Var_%,Index
2017-01-11,10059.97,10095.79,10127.03,10051.98,,-0.35,china_a50
2017-01-10,10095.79,10120.27,10132.69,10089.53,,-0.24,china_a50
2017-01-09,10120.27,10083.43,10138.38,10074.44,,0.37,china_a50
2017-01-06,10083.43,10133.7,10149.65,10078.9,,-0.5,china_a50
2017-01-05,10133.7,10136.83,10152.23,10118.51,,-0.03,china_a50
2017-01-04,10136.83,10065.2,10147.63,10050.72,,0.71,china_a50
2017-01-03,10065.2,9970.3,10078.24,9970.3,,0.95,china_a50
2016-12-30,9970.3,9915.66,9974.21,9914.51,,0.55,china_a50
2016-12-29,9915.66,9921.46,9943.51,9876.33,,-0.06,china_a50
2016-12-28,9921.46,9966.98,9980.94,9890.51,,-0.46,china_a50
2016-12-27,9966.98,9994.29,10015.82,9965.06,,-0.27,china_a50
2016-12-26,9994.29,9929.06,9997.37,9815.17,,0.66,china_a50
2016-12-23,9929.06,9984.17,9985.93,9896.95,,-0.55,china_a50
2016-12-22,9984.17,10014.06,10014.06,9945.73,,-0.3,china_a50
2016-12-21,10014.06,9947.65,10036.28,9947.65,,0.67,china_a50
2016-12-20,9947.65,10020.54,10031.94,9878.43,,-0.73,china_a50
2016-12-19,10020.54,10075.19,10075.38,10008.12,,-0.54,china_a50
2016-12-16,10075.19,10096.5,10123.25,10049.5,,-0.21,china_a50
2016-12-15,10096.5,10326.81,10326.81,10061.56,,-2.23,china_a50
2016-12-14,10326.81,10369.66,10432.79,10323.32,,-0.41,china_a50
2016-12-13,10369.66,10442.81,10442.81,10311.53,,-0.7,china_a50
2016-12-12,10442.81,10551.92,10614.56,10355.21,,-1.03,china_a50
2016-12-09,10551.92,10391.49,10597.38,10366.87,,1.54,china_a50
2016-12-08,10391.49,10372.98,10427.14,10362.76,,0.18,china_a50
2016-12-07,10372.98,10356.81,10375.86,10305.13,,0.16,china_a50
2016-12-06,10356.81,10369.04,10405.02,10349.84,,-0.12,china_a50
2016-12-05,10369.04,10532.65,10532.65,10313.11,,-1.55,china_a50
2016-12-02,10532.65,10581.89,10584.49,10461.06,,-0.47,china_a50
2016-12-01,10581.89,10537.38,10651.96,10527.38,,0.42,china_a50
2016-11-30,10537.38,10653.9,10677.62,10502.58,,-1.09,china_a50
2016-11-29,10653.9,10508.31,10705.12,10467.72,,1.39,china_a50
