Date,Last,Open,Max,Min,Vol_K,Var_%,Index
2015-08-26,4219.6,4141.24,4227.86,4052.55,303000.37,5.06,nasdaq
2015-08-25,4016.32,4187.28,4207.38,4015.91,324000.0,-0.55,nasdaq
2015-08-24,4038.6,3847.12,4199.79,3787.23,462000.04,-3.78,nasdaq
2015-08-21,4197.27,4313.19,4361.32,4197.27,337000.1,-4.28,nasdaq
2015-08-20,4385.13,4467.79,4484.36,4385.13,207000.12,-2.79,nasdaq
2015-08-19,4510.9,4525.32,4550.67,4486.11,158000.45,-0.69,nasdaq
2015-08-18,4542.07,4556.23,4562.15,4536.05,128000.56,-0.53,nasdaq
2015-08-17,4566.37,4516.88,4568.59,4507.98,127000.62,0.79,nasdaq
2015-08-14,4530.74,4512.88,4536.2,4503.83,134000.58,0.25,nasdaq
2015-08-13,4519.32,4536.96,4556.14,4514.45,144000.06,-0.2,nasdaq
2015-08-12,4528.19,4475.91,4539.18,4436.54,194000.63,0.31,nasdaq
2015-08-11,4513.99,4548.75,4567.69,4491.06,176000.04,-1.29,nasdaq
2015-08-10,4573.11,4558.68,4583.63,4554.62,152000.6,1.17,nasdaq
2015-08-07,4520.08,4519.36,4532.46,4485.5,169000.55,-0.19,nasdaq
2015-08-06,4528.51,4608.69,4612.62,4508.3,206000.47,-1.6,nasdaq
2015-08-05,4602.24,4592.81,4634.7,4590.19,175000.85,0.76,nasdaq
2015-08-04,4567.47,4573.25,4584.45,4551.9,163000.31,-0.28,nasdaq
2015-08-03,4580.46,4595.26,4607.52,4549.6,147000.61,-0.18,nasdaq
2015-07-31,4588.91,4616.48,4616.48,4584.22,177000.37,-0.21,nasdaq
2015-07-30,4598.59,4570.77,4606.65,4540.98,165000.46,0.37,nasdaq
2015-07-29,4581.6,4570.5,4586.78,4552.76,168000.92,0.47,nasdaq
2015-07-28,4560.23,4539.47,4568.79,4506.19,179000.91,0.91,nasdaq
2015-07-27,4519.09,4530.36,4551.99,4511.92,188000.29,-0.84,nasdaq
2015-07-24,4557.38,4630.95,4632.06,4552.4,187000.31,-0.99,nasdaq
2015-07-23,4602.83,4627.56,4641.58,4592.49,174000.04,-0.44,nasdaq
2015-07-22,4623.24,4604.97,4643.83,4604.53,182000.33,-1.09,nasdaq
2015-07-21,4674.4,4679.54,4686.36,4661.76,160000.46,-0.11,nasdaq
2015-07-20,4679.68,4670.23,4694.13,4657.98,145000.39,0.39,nasdaq
2015-07-17,4661.6,4635.48,4661.6,4624.68,187000.82,1.45,nasdaq
2015-07-16,4594.9,4567.06,4595.02,4558.32,161000.18,1.47,nasdaq
2015-07-15,4528.36,4531.31,4547.18,4517.4,157000.32,0.11,nasdaq
2015-07-14,4523.47,4503.2,4537.21,4500.66,157000.89,0.65,nasdaq
2015-07-13,4494.47,4457.76,4498.74,4456.54,148000.65,1.68,nasdaq
2015-07-10,4420.15,4405.99,4434.11,4394.01,142000.82,1.57,nasdaq
2015-07-09,4352.03,4410.27,4414.43,4351.51,162000.07,0.01,nasdaq
2015-07-08,4351.58,4392.51,4403.13,4346.42,161000.92,-1.75,nasdaq
2015-07-07,4429.06,4422.74,4434.91,4344.15,181000.15,0.24,nasdaq
2015-07-06,4418.66,4394.44,4444.41,4394.44,161000.7,-0.33,nasdaq
2015-07-02,4433.39,4440.17,4445.82,4417.48,134000.29,0.09,nasdaq
2015-07-01,4429.23,4433.79,4445.9,4409.42,145000.38,0.74,nasdaq
2015-06-30,4396.76,4414.86,4420.5,4381.94,184000.07,0.39,nasdaq
2015-06-29,4379.86,4433.11,4460.08,4377.23,176000.07,-2.33,nasdaq
2015-06-26,4484.28,4514.37,4523.97,4469.23,298000.23,-0.66,nasdaq
2015-06-25,4514.01,4540.4,4546.15,4508.65,132000.99,-0.23,nasdaq
2015-06-24,4524.6,4542.07,4561.64,4523.9,156000.7,-0.53,nasdaq
2015-06-23,4548.74,4549.52,4551.77,4529.99,122000.73,0.1,nasdaq
2015-06-22,4544.04,4541.85,4557.98,4534.76,132000.2,0.68,nasdaq
2015-06-19,4513.42,4538.71,4539.49,4511.21,343000.61,-0.41,nasdaq
2015-06-18,4531.85,4483.61,4540.69,4483.61,151000.59,1.41,nasdaq
2015-06-17,4468.98,4465.18,4482.27,4441.34,140000.68,0.29,nasdaq
2015-06-16,4455.9,4428.3,4463.2,4426.19,120000.11,0.52,nasdaq
2015-06-15,4432.92,4416.14,4437.97,4396.13,154000.36,-0.47,nasdaq
2015-06-12,4453.79,4467.38,4476.21,4449.21,128000.06,-0.77,nasdaq
2015-06-11,4488.47,4498.48,4511.32,4483.84,146000.85,0.07,nasdaq
2015-06-10,4485.46,4440.54,4497.51,4435.29,145000.39,1.31,nasdaq
2015-06-09,4427.61,4421.02,4441.62,4392.45,142000.74,-0.09,nasdaq
2015-06-08,4431.52,4476.69,4477.83,4423.8,141000.68,-1.02,nasdaq
2015-06-05,4477.19,4483.43,4493.43,4452.32,137000.71,-0.22,nasdaq
2015-06-04,4487.03,4501.73,4526.21,4475.05,151000.45,-0.73,nasdaq
2015-06-03,4519.86,4531.04,4539.35,4512.44,131000.1,0.24,nasdaq
2015-06-02,4508.89,4503.76,4531.08,4486.19,135000.37,-0.29,nasdaq
2015-06-01,4521.85,4530.03,4535.43,4488.17,166000.09,0.3,nasdaq
2015-05-29,4508.25,4532.15,4539.57,4499.65,211000.76,-0.6,nasdaq
2015-05-28,4535.66,4537.48,4548.24,4523.55,144000.73,-0.23,nasdaq
2015-05-27,4546.06,4488.05,4551.52,4479.74,159000.72,1.63,nasdaq
2015-05-26,4472.96,4516.63,4521.85,4456.76,174000.43,-1.2,nasdaq
2015-05-22,4527.16,4522.86,4542.46,4522.61,133000.96,-0.05,nasdaq
2015-05-21,4529.47,4499.42,4537.28,4495.4,144000.15,0.54,nasdaq
2015-05-20,4505.3,4505.59,4533.92,4484.52,155000.39,0.04,nasdaq
2015-05-19,4503.72,4514.66,4521.85,4498.52,147000.13,-0.2,nasdaq
2015-05-18,4512.95,4487.14,4521.01,4483.76,139000.82,0.42,nasdaq
2015-05-15,4494.29,4505.39,4509.13,4482.55,180000.85,-0.02,nasdaq
2015-05-14,4495.04,4461.07,4496.25,4448.38,157000.34,1.55,nasdaq
2015-05-13,4426.56,4436.08,4460.54,4421.75,132000.48,0.13,nasdaq
2015-05-12,4420.65,4412.82,4441.4,4380.52,148000.17,-0.41,nasdaq
2015-05-11,4438.64,4457.62,4468.75,4437.53,138000.99,-0.45,nasdaq
2015-05-08,4458.65,4444.99,4466.17,4441.73,165000.76,1.3,nasdaq
2015-05-07,4401.55,4377.81,4413.73,4373.3,175000.32,0.5,nasdaq
2015-05-06,4379.75,4420.3,4429.96,4349.93,179000.11,-0.67,nasdaq
2015-05-05,4409.39,4464.21,4472.23,4407.27,166000.5,-1.63,nasdaq
2015-05-04,4482.61,4491.19,4510.47,4480.85,141000.0,0.08,nasdaq
2015-05-01,4479.06,4437.7,4479.06,4435.24,156000.48,1.47,nasdaq
2015-04-30,4414.25,4459.23,4480.36,4395.1,202000.8,-1.65,nasdaq
2015-04-29,4488.15,4490.57,4517.01,4463.98,163000.81,-0.6,nasdaq
2015-04-28,4515.27,4529.41,4537.15,4479.01,183000.14,-0.22,nasdaq
2015-04-27,4525.03,4548.51,4562.33,4516.33,210000.82,-0.26,nasdaq
2015-04-24,4536.78,4529.73,4543.64,4517.88,204000.32,1.33,nasdaq
2015-04-23,4477.07,4445.17,4496.08,4444.29,190000.91,0.36,nasdaq
2015-04-22,4460.81,4448.58,4466.84,4419.35,146000.87,0.56,nasdaq
2015-04-21,4435.98,4444.5,4448.68,4430.98,146000.39,0.42,nasdaq
2015-04-20,4417.4,4373.65,4423.88,4373.09,146000.09,1.51,nasdaq
2015-04-17,4351.8,4379.63,4390.31,4333.1,209000.1,-1.52,nasdaq
2015-04-16,4418.83,4412.15,4427.22,4408.96,140000.52,-0.13,nasdaq
2015-04-15,4424.53,4409.74,4435.28,4406.04,152000.83,0.61,nasdaq
2015-04-14,4397.65,4409.29,4418.87,4375.1,131000.75,-0.26,nasdaq
2015-04-13,4409.21,4428.13,4448.2,4407.07,147000.29,-0.29,nasdaq
2015-04-10,4422.02,4402.02,4422.63,4394.38,134000.01,0.41,nasdaq
2015-04-09,4403.95,4375.78,4405.65,4361.23,149000.9,0.64,nasdaq
2015-04-08,4375.96,4345.23,4382.82,4345.09,149000.86,0.73,nasdaq
2015-04-07,4344.08,4349.31,4379.41,4343.74,137000.14,-0.16,nasdaq
2015-04-06,4350.98,4286.16,4361.56,4283.91,172000.12,0.81,nasdaq
2015-04-02,4316.01,4316.24,4327.79,4302.49,149000.55,0.11,nasdaq
2015-04-01,4311.26,4328.17,4334.56,4284.06,178000.11,-0.52,nasdaq
2015-03-31,4333.69,4364.15,4377.36,4333.69,186000.42,-1.12,nasdaq
2015-03-30,4382.82,4359.78,4384.18,4359.78,171000.23,1.15,nasdaq
2015-03-27,4332.86,4314.6,4342.93,4309.52,172000.81,0.41,nasdaq
2015-03-26,4315.26,4288.16,4340.16,4280.95,211000.46,-0.32,nasdaq
2015-03-25,4329.29,4437.38,4442.54,4329.29,211000.93,-2.29,nasdaq
2015-03-24,4430.98,4444.39,4467.79,4430.97,140000.2,-0.33,nasdaq
2015-03-23,4445.54,4454.15,4466.34,4445.52,142000.74,-0.29,nasdaq
2015-03-20,4458.54,4468.29,4478.69,4456.41,445000.34,0.72,nasdaq
2015-03-19,4426.82,4424.79,4440.01,4419.84,151000.12,0.1,nasdaq
2015-03-18,4422.5,4366.8,4440.49,4344.49,193000.47,1.07,nasdaq
2015-03-17,4375.62,4355.83,4384.98,4349.69,144000.34,0.12,nasdaq
2015-03-16,4370.47,4338.29,4371.46,4327.27,144000.84,1.29,nasdaq
2015-03-13,4314.9,4328.09,4347.87,4289.3,162000.06,-0.49,nasdaq
2015-03-12,4336.23,4302.73,4339.2,4300.87,163000.28,0.72,nasdaq
2015-03-11,4305.38,4336.05,4342.87,4304.28,154000.1,-0.55,nasdaq
2015-03-10,4329.08,4376.03,4381.62,4329.08,179000.46,-1.9,nasdaq
2015-03-09,4412.99,4406.87,4424.22,4391.62,135000.91,0.31,nasdaq
2015-03-06,4399.23,4442.19,4453.93,4389.82,162000.66,-1.19,nasdaq
2015-03-05,4452.06,4454.89,4464.48,4433.94,137000.75,0.15,nasdaq
2015-03-04,4445.36,4442.41,4452.37,4421.0,143000.57,-0.3,nasdaq
2015-03-03,4458.78,4466.53,4473.64,4433.51,149000.41,-0.54,nasdaq
2015-03-02,4483.05,4452.8,4483.97,4450.86,159000.1,0.95,nasdaq
2015-02-27,4440.67,4459.86,4464.31,4435.65,157000.3,-0.48,nasdaq
2015-02-26,4462.27,4443.55,4463.81,4430.79,143000.71,0.49,nasdaq
2015-02-25,4440.59,4441.08,4461.11,4429.9,141000.19,-0.23,nasdaq
2015-02-24,4451.03,4442.13,4455.52,4428.82,144000.74,0.03,nasdaq
2015-02-23,4449.49,4441.26,4449.49,4430.86,150000.41,0.14,nasdaq
2015-02-20,4443.05,4406.75,4444.62,4397.62,170000.39,0.71,nasdaq
2015-02-19,4411.86,4388.92,4415.79,4388.44,131000.4,0.48,nasdaq
2015-02-18,4390.91,4378.73,4393.19,4374.23,124000.39,0.13,nasdaq
2015-02-17,4385.34,4379.31,4387.32,4370.63,162000.95,0.03,nasdaq
2015-02-13,4384.03,4359.78,4384.03,4351.02,153000.5,0.83,nasdaq
2015-02-12,4347.97,4321.41,4347.97,4317.98,190000.1,1.18,nasdaq
2015-02-11,4297.28,4284.76,4305.35,4277.65,163000.97,0.38,nasdaq
2015-02-10,4281.15,4240.04,4286.43,4232.99,161000.42,1.54,nasdaq
2015-02-09,4216.09,4209.81,4235.24,4206.76,147000.6,-0.3,nasdaq
